r_(Angstroms),rho/rho_uniforme
0.000000,0.000000
0.010000,0.000000
0.020000,0.000000
0.030000,0.000000
0.040000,0.000000
0.050000,0.000000
0.060000,0.000000
0.070000,0.000000
0.080000,0.000000
0.090000,0.000000
0.100000,0.000000
0.110000,0.000000
0.120000,0.000000
0.130000,0.000000
0.140000,0.000000
0.150000,0.000000
0.160000,0.000000
0.170000,0.000000
0.180000,0.000000
0.190000,0.000000
0.200000,0.000000
0.210000,0.000000
0.220000,0.000000
0.230000,0.000000
0.240000,0.000000
0.250000,0.000000
0.260000,0.000000
0.270000,0.000000
0.280000,0.000000
0.290000,0.000000
0.300000,0.000000
0.310000,0.000000
0.320000,0.000000
0.330000,0.000000
0.340000,0.000000
0.350000,0.000000
0.360000,0.000000
0.370000,0.000000
0.380000,0.000000
0.390000,0.000000
0.400000,0.000000
0.410000,0.000000
0.420000,0.000000
0.430000,0.000000
0.440000,0.000000
0.450000,0.000000
0.460000,0.000000
0.470000,0.000000
0.480000,0.000000
0.490000,0.000000
0.500000,0.000000
0.510000,0.000000
0.520000,0.000000
0.530000,0.000000
0.540000,0.000000
0.550000,0.000000
0.560000,0.000000
0.570000,0.000000
0.580000,0.000000
0.590000,0.000000
0.600000,0.000000
0.610000,0.000000
0.620000,0.000000
0.630000,0.000000
0.640000,0.000000
0.650000,0.000000
0.660000,0.000000
0.670000,0.000000
0.680000,0.000000
0.690000,0.000000
0.700000,0.000000
0.710000,0.000000
0.720000,0.000000
0.730000,0.000000
0.740000,0.000000
0.750000,0.000000
0.760000,0.000000
0.770000,0.000000
0.780000,0.000000
0.790000,0.000000
0.800000,0.000000
0.810000,0.000000
0.820000,0.000000
0.830000,0.000000
0.840000,0.000000
0.850000,0.000000
0.860000,0.000000
0.870000,0.000000
0.880000,0.000000
0.890000,0.000000
0.900000,0.000000
0.910000,0.000000
0.920000,0.000000
0.930000,0.000000
0.940000,0.000000
0.950000,0.000000
0.960000,0.000000
0.970000,0.000000
0.980000,0.000000
0.990000,0.000000
1.000000,0.000000
1.010000,0.000000
1.020000,0.000000
1.030000,0.000000
1.040000,0.000000
1.050000,0.000000
1.060000,0.000000
1.070000,0.000000
1.080000,0.000000
1.090000,0.000000
1.100000,0.000000
1.110000,0.000000
1.120000,0.000000
1.130000,0.000000
1.140000,0.000000
1.150000,0.000000
1.160000,0.000000
1.170000,0.000000
1.180000,0.000000
1.190000,0.000000
1.200000,0.000000
1.210000,0.000000
1.220000,0.000000
1.230000,0.000000
1.240000,0.000000
1.250000,0.000000
1.260000,0.000000
1.270000,0.000000
1.280000,0.000000
1.290000,0.000000
1.300000,0.000000
1.310000,0.000000
1.320000,0.000000
1.330000,0.000000
1.340000,0.000000
1.350000,0.000000
1.360000,0.000000
1.370000,0.000000
1.380000,0.000000
1.390000,0.000000
1.400000,0.000000
1.410000,0.000000
1.420000,0.000000
1.430000,0.000000
1.440000,0.000000
1.450000,0.000000
1.460000,0.000000
1.470000,0.000000
1.480000,0.000000
1.490000,0.000000
1.500000,0.000000
1.510000,0.000000
1.520000,0.000000
1.530000,0.000000
1.540000,0.000000
1.550000,0.000000
1.560000,0.000000
1.570000,0.000000
1.580000,0.000000
1.590000,0.000000
1.600000,0.000000
1.610000,0.000000
1.620000,0.000000
1.630000,0.000000
1.640000,0.000000
1.650000,0.000000
1.660000,0.000000
1.670000,0.000000
1.680000,0.000000
1.690000,0.000000
1.700000,0.000000
1.710000,0.000000
1.720000,0.000000
1.730000,0.000000
1.740000,0.000000
1.750000,0.000000
1.760000,0.000000
1.770000,0.000000
1.780000,0.000000
1.790000,0.000000
1.800000,0.000000
1.810000,0.000000
1.820000,0.000000
1.830000,0.000000
1.840000,0.000000
1.850000,0.000000
1.860000,0.000000
1.870000,0.000000
1.880000,0.000000
1.890000,0.000000
1.900000,0.000000
1.910000,0.000000
1.920000,0.000000
1.930000,0.000000
1.940000,0.000000
1.950000,0.000000
1.960000,0.000000
1.970000,0.000000
1.980000,0.000000
1.990000,0.000000
2.000000,0.000000
2.010000,0.000000
2.020000,0.000000
2.030000,0.000000
2.040000,0.000000
2.050000,0.000000
2.060000,0.000000
2.070000,0.000000
2.080000,0.000000
2.090000,0.000000
2.100000,0.000000
2.110000,0.000000
2.120000,0.000000
2.130000,0.000000
2.140000,0.000000
2.150000,0.000000
2.160000,0.000000
2.170000,0.000000
2.180000,0.000000
2.190000,0.000000
2.200000,0.000000
2.210000,0.000000
2.220000,0.000000
2.230000,0.000000
2.240000,0.000000
2.250000,0.000000
2.260000,0.000000
2.270000,0.000000
2.280000,0.000000
2.290000,0.000000
2.300000,0.000000
2.310000,0.000000
2.320000,0.000000
2.330000,0.000000
2.340000,0.000000
2.350000,0.000000
2.360000,0.000000
2.370000,0.000000
2.380000,0.000000
2.390000,0.000000
2.400000,0.000000
2.410000,0.000000
2.420000,0.000000
2.430000,0.000000
2.440000,0.000000
2.450000,0.000000
2.460000,0.000000
2.470000,0.000000
2.480000,0.000000
2.490000,0.000000
2.500000,0.000000
2.510000,0.000000
2.520000,0.000000
2.530000,0.001222
2.540000,0.000000
2.550000,0.001213
2.560000,0.002416
2.570000,0.002407
2.580000,0.002398
2.590000,0.002388
2.600000,0.003569
2.610000,0.004740
2.620000,0.010624
2.630000,0.015288
2.640000,0.017574
2.650000,0.028012
2.660000,0.033721
2.670000,0.047496
2.680000,0.085405
2.690000,0.088537
2.700000,0.137470
2.710000,0.148378
2.720000,0.187634
2.730000,0.268526
2.740000,0.277708
2.750000,0.338563
2.760000,0.405703
2.770000,0.512560
2.780000,0.614199
2.790000,0.672980
2.800000,0.754541
2.810000,0.836624
2.820000,0.923610
2.830000,1.108358
2.840000,1.225365
2.850000,1.365430
2.860000,1.517498
2.870000,1.671741
2.880000,1.682058
2.890000,1.914947
2.900000,2.042762
2.910000,2.140997
2.920000,2.308482
2.930000,2.452653
2.940000,2.522190
2.950000,2.720242
2.960000,2.854250
2.970000,2.970692
2.980000,3.025104
2.990000,3.022246
3.000000,3.296805
3.010000,3.273537
3.020000,3.450180
3.030000,3.471485
3.040000,3.532339
3.050000,3.562365
3.060000,3.689253
3.070000,3.748805
3.080000,3.651273
3.090000,3.809685
3.100000,3.670669
3.110000,3.828001
3.120000,3.879215
3.130000,3.750204
3.140000,3.812178
3.150000,3.791255
3.160000,3.849771
3.170000,3.678557
3.180000,3.811002
3.190000,3.792285
3.200000,3.706004
3.210000,3.758091
3.220000,3.661882
3.230000,3.473350
3.240000,3.563871
3.250000,3.509130
3.260000,3.447130
3.270000,3.376994
3.280000,3.323321
3.290000,3.175928
3.300000,3.213200
3.310000,3.151159
3.320000,3.152865
3.330000,3.017043
3.340000,2.970041
3.350000,2.963036
3.360000,2.879638
3.370000,2.742562
3.380000,2.784810
3.390000,2.720017
3.400000,2.679266
3.410000,2.521697
3.420000,2.397620
3.430000,2.406878
3.440000,2.367509
3.450000,2.268276
3.460000,2.265307
3.470000,2.152670
3.480000,2.223852
3.490000,2.063214
3.500000,2.105070
3.510000,1.914827
3.520000,1.939284
3.530000,1.911006
3.540000,1.781488
3.550000,1.786937
3.560000,1.753240
3.570000,1.712797
3.580000,1.677766
3.590000,1.565352
3.600000,1.535222
3.610000,1.486401
3.620000,1.399380
3.630000,1.396383
3.640000,1.394252
3.650000,1.322611
3.660000,1.328303
3.670000,1.223503
3.680000,1.172250
3.690000,1.187528
3.700000,1.142504
3.710000,1.106063
3.720000,1.059003
3.730000,1.017173
3.740000,1.045900
3.750000,1.031562
3.760000,0.974500
3.770000,0.942367
3.780000,0.897304
3.790000,0.881058
3.800000,0.873042
3.810000,0.780592
3.820000,0.793134
3.830000,0.782985
3.840000,0.773695
3.850000,0.733908
3.860000,0.699137
3.870000,0.725322
3.880000,0.693145
3.890000,0.664315
3.900000,0.639601
3.910000,0.592059
3.920000,0.601604
3.930000,0.598500
3.940000,0.596197
3.950000,0.553163
3.960000,0.590845
3.970000,0.504385
3.980000,0.548999
3.990000,0.511168
4.000000,0.488227
4.010000,0.481608
4.020000,0.513517
4.030000,0.462326
4.040000,0.455054
4.050000,0.458517
4.060000,0.434520
4.070000,0.411400
4.080000,0.420255
4.090000,0.410905
4.100000,0.356307
4.110000,0.372008
4.120000,0.338052
4.130000,0.377703
4.140000,0.357354
4.150000,0.362460
4.160000,0.331085
4.170000,0.342168
4.180000,0.308770
4.190000,0.321331
4.200000,0.330147
4.210000,0.294810
4.220000,0.331518
4.230000,0.306588
4.240000,0.283966
4.250000,0.280386
4.260000,0.275369
4.270000,0.287773
4.280000,0.282039
4.290000,0.274167
4.300000,0.271371
4.310000,0.249198
4.320000,0.255070
4.330000,0.259485
4.340000,0.236066
4.350000,0.259717
4.360000,0.258412
4.370000,0.254280
4.380000,0.242393
4.390000,0.239021
4.400000,0.220188
4.410000,0.210565
4.420000,0.244403
4.430000,0.204724
4.440000,0.233544
4.450000,0.233019
4.460000,0.199879
4.470000,0.214666
4.480000,0.241134
4.490000,0.217847
4.500000,0.195352
4.510000,0.212078
4.520000,0.205446
4.530000,0.211143
4.540000,0.195678
4.550000,0.193208
4.560000,0.200252
4.570000,0.235713
4.580000,0.212895
4.590000,0.220525
4.600000,0.213990
4.610000,0.212854
4.620000,0.245895
4.630000,0.218622
4.640000,0.200138
4.650000,0.250967
4.660000,0.217216
4.670000,0.220065
4.680000,0.218273
4.690000,0.223748
4.700000,0.229859
4.710000,0.217541
4.720000,0.223639
4.730000,0.231020
4.740000,0.256656
4.750000,0.237869
4.760000,0.236719
4.770000,0.286194
4.780000,0.255158
4.790000,0.224898
4.800000,0.244422
4.810000,0.236835
4.820000,0.231207
4.830000,0.267260
4.840000,0.282699
4.850000,0.285308
4.860000,0.266249
4.870000,0.286680
4.880000,0.271503
4.890000,0.291206
4.900000,0.318410
4.910000,0.315871
4.920000,0.322780
4.930000,0.320242
4.940000,0.354060
4.950000,0.362101
4.960000,0.319555
4.970000,0.388052
4.980000,0.387895
4.990000,0.398286
5.000000,0.378916
5.010000,0.399787
5.020000,0.429208
5.030000,0.406815
5.040000,0.437335
5.050000,0.453634
5.060000,0.469869
5.070000,0.478713
5.080000,0.507023
5.090000,0.488390
5.100000,0.496538
5.110000,0.534946
5.120000,0.528461
5.130000,0.566657
5.140000,0.545078
5.150000,0.561453
5.160000,0.611363
5.170000,0.595810
5.180000,0.613188
5.190000,0.633482
5.200000,0.695967
5.210000,0.688691
5.220000,0.714654
5.230000,0.747029
5.240000,0.677071
5.250000,0.718240
5.260000,0.740419
5.270000,0.787774
5.280000,0.799182
5.290000,0.866731
5.300000,0.787408
5.310000,0.855307
5.320000,0.881052
5.330000,0.886370
5.340000,0.924715
5.350000,0.942663
5.360000,0.977873
5.370000,0.960487
5.380000,0.978844
5.390000,1.020683
5.400000,1.051474
5.410000,1.019203
5.420000,1.022465
5.430000,1.106677
5.440000,1.125702
5.450000,1.108301
5.460000,1.151068
5.470000,1.134816
5.480000,1.189243
5.490000,1.210764
5.500000,1.218697
5.510000,1.255819
5.520000,1.189046
5.530000,1.288232
5.540000,1.308821
5.550000,1.275784
5.560000,1.252332
5.570000,1.295108
5.580000,1.300002
5.590000,1.317618
5.600000,1.364472
5.610000,1.343278
5.620000,1.416363
5.630000,1.374255
5.640000,1.398719
5.650000,1.391862
5.660000,1.445747
5.670000,1.454666
5.680000,1.469005
5.690000,1.443028
5.700000,1.464942
5.710000,1.481356
5.720000,1.467402
5.730000,1.500505
5.740000,1.479554
5.750000,1.493137
5.760000,1.541611
5.770000,1.552893
5.780000,1.524497
5.790000,1.513845
5.800000,1.504298
5.810000,1.505974
5.820000,1.585846
5.830000,1.551264
5.840000,1.488702
5.850000,1.610535
5.860000,1.628395
