X_(Angstroms),Y_(Angstroms)
26.221218,18.372803
18.115288,40.704983
10.649643,5.171812
10.405351,13.457365
43.983527,19.239891
33.273307,6.768211
41.636134,34.131119
4.950830,42.085648
31.647594,18.778723
2.102905,32.410336
8.763223,2.218691
41.789299,30.298542
13.311010,1.811888
35.253906,39.236944
1.950452,10.439112
39.794788,38.426934
36.686779,29.621742
18.472794,20.113127
29.471490,8.840337
35.877666,43.271920
15.361562,17.007209
30.135140,19.731328
1.561139,10.612521
24.984943,33.394647
26.028766,30.762732
33.666008,5.163255
11.859789,26.715338
11.131028,24.712636
30.127823,8.822021
8.065573,2.849857
15.050106,25.791006
29.859539,20.309000
16.450393,19.946299
36.325934,9.001212
8.931481,31.884905
8.198213,2.731696
32.976037,25.872244
36.830660,8.748784
29.422639,37.014607
43.094661,19.788237
3.156309,10.439539
6.687543,5.227498
24.760454,19.443143
32.726822,40.511865
5.999152,22.346976
18.461452,38.426960
37.424265,34.609815
43.806685,34.319018
8.382672,6.218628
40.184911,14.888972
2.104726,34.907315
30.620490,8.568313
39.835963,34.139013
30.681222,19.764758
19.444860,32.604280
34.555684,25.303905
40.335191,25.375546
22.200794,24.661020
31.751672,37.191716
34.792254,39.669267
0.362854,28.027136
33.080204,2.560786
23.606458,24.151377
38.454975,4.949772
15.085867,15.186608
36.307369,18.820403
10.705449,22.566060
26.304766,40.292878
0.596992,24.371813
36.820285,7.687566
27.814343,9.927546
41.361007,2.830886
14.488209,17.837527
30.090144,14.450176
14.381968,32.202293
18.991628,28.148738
15.065647,26.734430
14.811538,4.301721
6.561066,30.753050
6.397945,0.313688
4.210779,15.721788
21.898986,15.882010
22.292565,36.659805
0.670483,9.466933
24.397690,37.768810
34.902154,30.788594
34.228446,26.946877
29.131079,25.979251
42.002155,11.068533
12.463702,7.847595
23.270925,33.968911
41.869915,21.339293
20.206124,28.808297
9.463921,35.447490
11.725015,16.337317
35.737674,31.646285
29.425655,26.100492
14.754863,8.700808
36.020818,3.752644
18.029267,43.522880
1.384151,21.995429
15.251766,28.596970
23.779222,36.855664
31.293980,6.799572
6.668259,40.652107
24.138907,27.942641
30.908313,12.085282
22.252434,23.630785
29.453772,40.236371
9.407302,41.304406
9.091421,25.089947
31.450411,42.377581
8.114254,14.283801
32.839027,2.373184
27.868151,20.256756
2.028198,16.235982
43.462906,9.534165
25.638740,12.736316
18.983084,29.892266
20.228247,21.855965
17.052846,7.795065
1.538615,7.307060
32.901461,13.061383
5.824781,12.566364
34.061226,23.892264
20.210360,4.980461
6.942270,43.450515
0.988091,25.830597
29.050221,28.723948
11.061044,41.176140
32.946100,9.217277
27.698056,31.727678
40.279566,12.605384
18.703335,12.561124
32.209521,27.568786
29.928537,22.666000
26.946345,15.497599
15.674175,37.752773
21.254070,43.428123
1.080233,3.313089
10.927271,12.366179
24.946187,11.483905
17.899874,38.557102
