promedio_temporal,energia_en_cada_paso
-0.007944,-0.007944
-0.008726,-0.009507
-0.009274,-0.010369
-0.009743,-0.011150
-0.010160,-0.011828
-0.010464,-0.011984
-0.010716,-0.012232
-0.010933,-0.012449
-0.011138,-0.012779
-0.011329,-0.013053
-0.011487,-0.013065
-0.011625,-0.013145
-0.011764,-0.013426
-0.011891,-0.013541
-0.012017,-0.013789
-0.012143,-0.014031
-0.012274,-0.014375
-0.012408,-0.014670
-0.012535,-0.014827
-0.012654,-0.014919
-0.012763,-0.014941
-0.012864,-0.014974
-0.012961,-0.015101
-0.013050,-0.015109
-0.013135,-0.015163
-0.013215,-0.015212
-0.013289,-0.015209
-0.013357,-0.015206
-0.013421,-0.015206
-0.013480,-0.015209
-0.013538,-0.015268
-0.013592,-0.015263
-0.013644,-0.015312
-0.013694,-0.015328
-0.013742,-0.015402
-0.013790,-0.015445
-0.013836,-0.015485
-0.013880,-0.015535
-0.013923,-0.015565
-0.013966,-0.015636
-0.014010,-0.015746
-0.014051,-0.015756
-0.014091,-0.015763
-0.014129,-0.015762
-0.014167,-0.015815
-0.014202,-0.015815
-0.014237,-0.015835
-0.014274,-0.015995
-0.014310,-0.016049
-0.014345,-0.016078
-0.014381,-0.016147
-0.014415,-0.016144
-0.014447,-0.016151
-0.014479,-0.016149
-0.014509,-0.016151
-0.014539,-0.016173
-0.014569,-0.016250
-0.014598,-0.016264
-0.014627,-0.016277
-0.014655,-0.016320
-0.014683,-0.016350
-0.014711,-0.016428
-0.014738,-0.016444
-0.014766,-0.016531
-0.014794,-0.016545
-0.014820,-0.016540
-0.014846,-0.016552
-0.014872,-0.016588
-0.014896,-0.016586
-0.014921,-0.016586
-0.014944,-0.016590
-0.014967,-0.016592
-0.014989,-0.016583
-0.015011,-0.016583
-0.015032,-0.016586
-0.015052,-0.016592
-0.015072,-0.016592
-0.015092,-0.016589
-0.015111,-0.016590
-0.015129,-0.016587
-0.015147,-0.016591
-0.015165,-0.016596
-0.015182,-0.016596
-0.015199,-0.016585
-0.015215,-0.016591
-0.015231,-0.016586
-0.015247,-0.016586
-0.015262,-0.016580
-0.015277,-0.016589
-0.015291,-0.016590
-0.015306,-0.016590
-0.015319,-0.016586
-0.015333,-0.016595
-0.015347,-0.016589
-0.015360,-0.016588
-0.015372,-0.016596
-0.015385,-0.016587
-0.015397,-0.016593
-0.015410,-0.016603
-0.015421,-0.016588
-0.015433,-0.016591
-0.015444,-0.016582
-0.015455,-0.016593
-0.015466,-0.016591
-0.015477,-0.016594
-0.015488,-0.016598
-0.015498,-0.016590
-0.015508,-0.016595
-0.015518,-0.016594
-0.015528,-0.016588
-0.015537,-0.016596
-0.015547,-0.016596
-0.015556,-0.016592
-0.015565,-0.016603
-0.015574,-0.016602
-0.015583,-0.016591
-0.015592,-0.016597
-0.015600,-0.016605
-0.015609,-0.016611
-0.015617,-0.016634
-0.015627,-0.016735
-0.015636,-0.016828
-0.015646,-0.016829
-0.015656,-0.016840
-0.015665,-0.016878
-0.015675,-0.016887
-0.015685,-0.016889
-0.015694,-0.016885
-0.015704,-0.016936
-0.015713,-0.016944
-0.015723,-0.016976
-0.015733,-0.017100
-0.015745,-0.017253
-0.015756,-0.017254
-0.015767,-0.017253
-0.015778,-0.017256
-0.015789,-0.017254
-0.015799,-0.017252
-0.015810,-0.017257
-0.015820,-0.017260
-0.015831,-0.017262
-0.015840,-0.017249
-0.015850,-0.017253
-0.015860,-0.017259
-0.015870,-0.017254
-0.015879,-0.017259
-0.015889,-0.017257
-0.015898,-0.017258
-0.015907,-0.017259
-0.015916,-0.017266
-0.015925,-0.017264
-0.015934,-0.017277
-0.015943,-0.017292
-0.015952,-0.017299
-0.015960,-0.017304
-0.015969,-0.017300
-0.015977,-0.017305
-0.015986,-0.017305
-0.015994,-0.017304
-0.016002,-0.017298
-0.016010,-0.017304
-0.016018,-0.017300
-0.016026,-0.017296
-0.016034,-0.017304
-0.016042,-0.017295
-0.016049,-0.017309
-0.016057,-0.017310
-0.016064,-0.017313
-0.016072,-0.017306
-0.016079,-0.017302
-0.016086,-0.017309
-0.016093,-0.017312
-0.016100,-0.017304
-0.016107,-0.017300
-0.016114,-0.017297
-0.016121,-0.017306
-0.016127,-0.017298
-0.016134,-0.017307
-0.016140,-0.017307
-0.016147,-0.017303
-0.016153,-0.017306
-0.016160,-0.017305
-0.016166,-0.017308
-0.016172,-0.017308
-0.016178,-0.017305
-0.016184,-0.017306
-0.016190,-0.017309
-0.016196,-0.017305
-0.016202,-0.017311
-0.016208,-0.017300
-0.016214,-0.017308
-0.016219,-0.017314
-0.016225,-0.017363
-0.016231,-0.017372
-0.016237,-0.017418
-0.016244,-0.017479
-0.016250,-0.017478
-0.016256,-0.017477
-0.016262,-0.017477
-0.016268,-0.017482
-0.016274,-0.017462
-0.016280,-0.017481
-0.016286,-0.017472
-0.016292,-0.017485
-0.016298,-0.017483
-0.016304,-0.017479
-0.016309,-0.017480
-0.016315,-0.017480
-0.016320,-0.017473
-0.016326,-0.017476
-0.016331,-0.017473
-0.016337,-0.017473
-0.016342,-0.017474
-0.016347,-0.017484
-0.016353,-0.017470
-0.016358,-0.017473
-0.016363,-0.017472
-0.016368,-0.017478
-0.016373,-0.017475
-0.016378,-0.017469
-0.016383,-0.017480
-0.016388,-0.017476
-0.016393,-0.017463
-0.016398,-0.017476
-0.016402,-0.017472
-0.016407,-0.017478
-0.016412,-0.017485
-0.016417,-0.017471
-0.016421,-0.017482
-0.016426,-0.017472
-0.016430,-0.017473
-0.016435,-0.017484
-0.016439,-0.017476
-0.016444,-0.017476
-0.016448,-0.017484
-0.016453,-0.017462
-0.016457,-0.017476
-0.016461,-0.017476
-0.016465,-0.017469
-0.016470,-0.017476
-0.016474,-0.017468
-0.016478,-0.017474
-0.016482,-0.017481
-0.016486,-0.017465
-0.016490,-0.017485
-0.016494,-0.017476
-0.016498,-0.017476
-0.016502,-0.017481
-0.016506,-0.017481
-0.016510,-0.017469
-0.016514,-0.017480
-0.016518,-0.017479
-0.016521,-0.017474
-0.016525,-0.017471
-0.016529,-0.017466
-0.016532,-0.017477
-0.016536,-0.017475
-0.016540,-0.017465
-0.016543,-0.017481
-0.016547,-0.017470
-0.016550,-0.017473
-0.016554,-0.017476
-0.016557,-0.017468
-0.016561,-0.017484
-0.016564,-0.017473
-0.016568,-0.017475
-0.016571,-0.017474
-0.016575,-0.017470
-0.016578,-0.017474
-0.016581,-0.017480
-0.016585,-0.017474
-0.016588,-0.017470
-0.016591,-0.017471
-0.016594,-0.017462
-0.016597,-0.017477
-0.016601,-0.017480
-0.016604,-0.017476
-0.016607,-0.017477
-0.016610,-0.017471
-0.016613,-0.017472
-0.016616,-0.017480
-0.016619,-0.017477
-0.016622,-0.017467
-0.016625,-0.017481
-0.016628,-0.017481
-0.016631,-0.017475
-0.016634,-0.017474
-0.016637,-0.017474
-0.016640,-0.017483
-0.016643,-0.017475
-0.016646,-0.017484
-0.016649,-0.017482
-0.016651,-0.017478
-0.016654,-0.017484
-0.016657,-0.017475
-0.016660,-0.017477
-0.016663,-0.017482
-0.016665,-0.017477
-0.016668,-0.017469
-0.016671,-0.017481
-0.016673,-0.017481
-0.016676,-0.017482
-0.016679,-0.017475
-0.016681,-0.017476
-0.016684,-0.017474
-0.016687,-0.017470
-0.016689,-0.017472
-0.016692,-0.017469
-0.016694,-0.017464
-0.016697,-0.017477
-0.016699,-0.017477
-0.016702,-0.017459
-0.016704,-0.017479
-0.016707,-0.017478
-0.016709,-0.017474
-0.016711,-0.017475
-0.016714,-0.017468
-0.016716,-0.017474
-0.016719,-0.017470
-0.016721,-0.017469
-0.016723,-0.017478
-0.016726,-0.017476
-0.016728,-0.017468
-0.016730,-0.017480
-0.016733,-0.017486
-0.016735,-0.017481
-0.016737,-0.017476
-0.016739,-0.017476
-0.016742,-0.017488
-0.016744,-0.017471
-0.016746,-0.017475
-0.016748,-0.017485
-0.016750,-0.017475
-0.016753,-0.017486
-0.016755,-0.017478
-0.016757,-0.017478
-0.016759,-0.017491
-0.016761,-0.017480
-0.016763,-0.017488
-0.016766,-0.017520
-0.016768,-0.017555
-0.016770,-0.017594
-0.016773,-0.017592
-0.016775,-0.017582
-0.016777,-0.017586
-0.016780,-0.017591
-0.016782,-0.017590
-0.016784,-0.017585
-0.016787,-0.017589
-0.016789,-0.017597
-0.016791,-0.017596
-0.016794,-0.017590
-0.016796,-0.017588
-0.016798,-0.017590
-0.016800,-0.017597
-0.016803,-0.017598
-0.016805,-0.017585
-0.016807,-0.017591
-0.016809,-0.017588
-0.016811,-0.017595
-0.016814,-0.017596
-0.016816,-0.017599
-0.016818,-0.017597
-0.016820,-0.017591
-0.016822,-0.017593
-0.016824,-0.017594
-0.016826,-0.017593
-0.016828,-0.017589
-0.016830,-0.017584
-0.016833,-0.017601
-0.016835,-0.017586
-0.016837,-0.017596
-0.016839,-0.017588
-0.016841,-0.017602
-0.016843,-0.017592
-0.016845,-0.017593
-0.016847,-0.017598
-0.016849,-0.017579
-0.016851,-0.017599
-0.016853,-0.017591
-0.016854,-0.017597
-0.016856,-0.017601
-0.016858,-0.017596
-0.016860,-0.017607
-0.016862,-0.017599
-0.016864,-0.017590
-0.016866,-0.017612
-0.016868,-0.017608
-0.016870,-0.017613
-0.016872,-0.017630
-0.016874,-0.017640
-0.016876,-0.017646
-0.016878,-0.017647
-0.016880,-0.017651
-0.016882,-0.017647
-0.016884,-0.017649
-0.016886,-0.017665
-0.016887,-0.017648
-0.016889,-0.017652
-0.016891,-0.017654
-0.016893,-0.017654
-0.016895,-0.017658
-0.016897,-0.017656
-0.016899,-0.017652
-0.016901,-0.017649
-0.016903,-0.017655
-0.016904,-0.017657
-0.016906,-0.017655
-0.016908,-0.017652
-0.016910,-0.017664
-0.016912,-0.017659
-0.016914,-0.017663
-0.016915,-0.017658
-0.016917,-0.017661
-0.016919,-0.017669
-0.016921,-0.017674
-0.016923,-0.017806
-0.016925,-0.017832
-0.016927,-0.017848
-0.016930,-0.017883
-0.016932,-0.017877
-0.016934,-0.017898
-0.016936,-0.017945
-0.016939,-0.017936
-0.016941,-0.017939
-0.016944,-0.017940
-0.016946,-0.017934
-0.016948,-0.017935
-0.016951,-0.017944
-0.016953,-0.017948
-0.016955,-0.017940
-0.016957,-0.017943
-0.016960,-0.017949
-0.016962,-0.017973
-0.016964,-0.017992
-0.016967,-0.018008
-0.016969,-0.018017
-0.016972,-0.018025
-0.016974,-0.018026
-0.016976,-0.018040
-0.016979,-0.018039
-0.016981,-0.018041
-0.016984,-0.018045
-0.016986,-0.018038
-0.016988,-0.018036
-0.016991,-0.018050
-0.016993,-0.018033
-0.016995,-0.018034
-0.016998,-0.018050
-0.017000,-0.018038
-0.017002,-0.018040
-0.017005,-0.018036
-0.017007,-0.018037
-0.017009,-0.018042
-0.017011,-0.018044
-0.017014,-0.018039
-0.017016,-0.018044
-0.017018,-0.018043
-0.017020,-0.018038
-0.017023,-0.018038
-0.017025,-0.018043
-0.017027,-0.018043
-0.017029,-0.018038
-0.017031,-0.018040
-0.017034,-0.018045
-0.017036,-0.018045
-0.017038,-0.018042
-0.017040,-0.018047
-0.017042,-0.018043
-0.017044,-0.018042
-0.017046,-0.018041
-0.017049,-0.018034
-0.017051,-0.018041
