promedio_temporal,energia_en_cada_paso
-0.003370,-0.003370
-0.003269,-0.003168
-0.003229,-0.003150
-0.003172,-0.002999
-0.003092,-0.002775
-0.003147,-0.003421
-0.003165,-0.003273
-0.003145,-0.003005
-0.003143,-0.003124
-0.003181,-0.003528
-0.003159,-0.002935
-0.003151,-0.003062
-0.003162,-0.003297
-0.003181,-0.003422
-0.003203,-0.003514
-0.003219,-0.003452
-0.003236,-0.003515
-0.003249,-0.003470
-0.003242,-0.003124
-0.003261,-0.003608
-0.003270,-0.003451
-0.003274,-0.003353
-0.003281,-0.003449
-0.003287,-0.003417
-0.003289,-0.003331
-0.003299,-0.003563
-0.003296,-0.003201
-0.003302,-0.003475
-0.003308,-0.003470
-0.003307,-0.003282
-0.003307,-0.003315
-0.003308,-0.003326
-0.003306,-0.003241
-0.003297,-0.002992
-0.003288,-0.002997
-0.003279,-0.002968
-0.003278,-0.003246
-0.003271,-0.002993
-0.003269,-0.003215
-0.003262,-0.002985
-0.003262,-0.003275
-0.003255,-0.002949
-0.003250,-0.003060
-0.003251,-0.003274
-0.003256,-0.003484
-0.003261,-0.003490
-0.003257,-0.003075
-0.003255,-0.003131
-0.003253,-0.003149
-0.003250,-0.003102
-0.003245,-0.003031
-0.003242,-0.003097
-0.003243,-0.003273
-0.003254,-0.003842
-0.003265,-0.003854
-0.003274,-0.003751
-0.003277,-0.003437
-0.003286,-0.003838
-0.003286,-0.003277
-0.003294,-0.003783
-0.003302,-0.003745
-0.003309,-0.003749
-0.003313,-0.003542
-0.003318,-0.003682
-0.003323,-0.003592
-0.003329,-0.003745
-0.003337,-0.003852
-0.003342,-0.003708
-0.003348,-0.003722
-0.003353,-0.003691
-0.003354,-0.003438
-0.003359,-0.003689
-0.003357,-0.003280
-0.003358,-0.003388
-0.003361,-0.003594
-0.003360,-0.003304
-0.003361,-0.003431
-0.003363,-0.003511
-0.003365,-0.003543
-0.003370,-0.003761
-0.003376,-0.003868
-0.003378,-0.003510
-0.003385,-0.003950
-0.003390,-0.003807
-0.003394,-0.003711
-0.003400,-0.003949
-0.003404,-0.003744
-0.003403,-0.003279
-0.003411,-0.004165
-0.003412,-0.003495
-0.003418,-0.003947
-0.003422,-0.003777
-0.003425,-0.003706
-0.003431,-0.004013
-0.003431,-0.003352
-0.003431,-0.003472
-0.003432,-0.003533
-0.003435,-0.003744
-0.003438,-0.003668
-0.003443,-0.004027
