X_(Angstroms),Y_(Angstroms)
124.624704,3.556841
78.950857,135.312236
126.986165,126.107728
109.891751,105.965603
109.292864,25.682296
50.849558,128.842691
120.485903,10.951398
66.899567,105.241324
89.778293,18.996179
85.708365,18.588581
140.127100,130.272582
88.126177,83.909031
129.821374,114.952668
3.590703,130.395620
106.061016,100.024685
13.180634,69.331880
131.782936,72.930981
61.841600,3.875021
51.693467,75.865234
137.243332,123.915511
101.761341,73.808713
59.270999,119.248998
82.110327,116.941694
125.517051,106.356670
39.628894,116.577765
68.368786,127.833054
11.339557,61.264388
74.981308,116.650655
26.341124,27.826963
67.990069,101.760298
45.963421,69.532981
103.596132,56.085804
20.061314,114.954037
39.696309,70.217760
63.275665,81.879437
60.664063,97.608428
130.211811,28.763008
59.968069,122.659000
76.386735,140.581964
59.509197,87.239082
120.301438,56.971915
98.558555,72.302385
40.212805,81.916130
46.224709,85.466801
102.480140,88.947222
130.102606,95.395092
126.156876,2.508815
80.111845,26.239172
4.781270,100.014407
22.715758,106.714598
79.018326,90.637116
79.425159,15.873020
79.609439,105.939785
130.149972,81.426019
28.653252,112.143344
136.863115,58.220367
51.353115,79.588504
115.123131,9.322459
41.137416,52.890300
70.615424,27.428595
84.983405,121.968615
109.150185,51.401579
94.901216,8.746891
14.846700,92.101011
101.958538,83.066370
75.058056,35.575392
128.562056,15.035007
6.787660,118.352466
9.413453,55.722458
119.273455,25.276253
5.503325,60.605490
96.307618,58.683979
71.550179,126.412323
4.773395,32.274841
74.090214,46.930742
44.417202,121.067242
48.960327,113.510523
134.244593,31.419088
95.090211,82.822823
106.123141,54.585963
31.828535,89.623151
137.280117,111.820687
45.426342,76.259797
19.393829,49.635706
106.124115,80.544866
81.627805,18.798694
68.744830,83.232480
106.457815,41.449079
134.928623,112.260827
7.531071,80.986661
87.374189,35.196690
102.851104,50.879574
78.248244,126.266459
86.916981,43.599014
9.650430,132.358174
90.533038,140.984259
5.791868,93.871266
66.059288,113.326343
46.868319,82.062616
121.315352,138.544226
56.569254,1.943425
41.592347,124.914458
68.844954,57.718738
10.611998,95.782705
106.024954,131.259032
6.176267,129.597166
94.486054,3.763680
61.824527,115.395387
33.888011,104.921450
