X_(Angstroms),Y_(Angstroms)
26.225129,11.077577
17.360542,18.347644
39.549646,10.157175
4.469700,13.870043
4.780776,26.764562
43.932871,57.219711
0.116927,19.987599
20.478041,11.478883
33.885100,61.827003
16.101265,9.777827
4.420353,25.611341
18.548791,29.468793
17.720979,19.834397
44.610767,52.238021
52.586648,55.358011
48.962082,7.494335
59.461013,20.967679
44.150558,45.522932
35.279174,61.238741
8.821142,35.359518
54.052159,62.921320
51.289135,38.846557
38.706868,43.908576
41.634713,37.577182
13.894467,23.767825
46.610121,7.191219
6.084096,8.600267
25.284616,30.807796
2.722701,23.623843
0.762922,49.358653
24.089060,14.511413
37.259291,8.877976
33.560866,14.287625
12.750470,54.446402
17.673082,7.162081
50.828615,23.825753
10.884321,48.156494
21.398983,38.757126
56.308076,31.116860
25.182164,17.486952
38.293469,21.071137
21.229375,4.931955
11.904407,0.899770
31.691585,50.827011
44.244048,9.877597
9.491144,9.657048
8.052656,27.177764
61.545882,43.160423
6.683655,1.071317
54.034345,30.555053
27.897543,35.464995
21.828603,51.620410
21.396565,37.504202
27.574811,27.819174
32.078934,11.418691
9.448386,7.491150
37.845453,23.372688
5.102191,62.431851
22.998829,24.842878
10.877985,5.829471
46.720814,50.439808
24.582397,19.408266
61.428899,21.674826
60.490029,21.968901
62.614281,19.639420
29.641537,8.858792
27.822315,52.536348
41.781913,42.972420
51.104223,39.299560
42.924933,49.334933
23.772844,54.012543
18.299411,17.969831
17.327751,28.995314
36.491217,11.592155
19.742429,57.849372
36.392202,26.573170
61.297719,0.933400
43.292793,59.014345
59.068121,39.121253
29.889437,44.065978
3.146608,10.675022
30.684086,54.483942
7.239099,18.353332
1.742934,8.185359
16.677085,1.523904
47.177651,30.390135
55.646778,36.079332
29.020131,2.880281
52.820834,41.188049
12.757107,41.822246
43.719334,53.096398
55.459714,42.446857
8.777511,10.013686
34.647372,31.004301
58.278106,25.801624
34.754854,51.931947
46.562311,59.744361
53.100239,31.568087
45.167497,40.703766
59.408126,1.761551
61.934034,25.118179
18.207877,42.696210
19.707334,7.285664
58.672417,45.472279
12.305925,23.037640
48.139867,20.569462
46.764887,24.547341
32.921809,43.270281
27.877811,15.192859
0.639458,44.679872
61.590627,35.135463
22.517824,32.569094
57.941267,21.321288
53.265542,13.949784
44.654086,6.329225
33.163048,27.518286
37.899418,8.228716
43.419764,30.959284
59.061820,60.591874
19.209126,61.869582
13.583485,13.371265
44.252039,33.121881
4.597719,13.594856
0.488177,56.829177
17.801820,25.960807
43.522192,43.655637
61.542551,17.548126
25.818252,35.605661
42.626970,6.854742
11.198198,9.501578
34.920675,48.192934
44.554358,2.400967
42.500397,45.548838
30.745347,44.337790
43.658832,20.518605
18.377023,1.270021
42.012205,51.328725
19.773011,51.401706
6.058604,24.225892
59.339081,56.984364
46.391665,61.303960
40.751110,57.468797
3.862277,1.424766
58.872995,20.148188
3.672200,53.707118
29.589065,0.578401
60.277539,45.798612
52.720130,11.217136
8.728400,28.045300
55.733032,60.007341
47.995829,36.100007
11.379732,45.236977
59.913385,8.348641
17.097185,13.359446
45.181819,43.285009
41.187508,61.464802
30.682667,16.773259
37.030692,45.540306
56.011480,24.912443
32.447891,50.352619
38.803944,40.422746
26.176719,47.775769
47.652332,43.742811
46.971853,43.007894
48.750599,57.860619
20.237638,49.488272
3.273516,43.862876
24.340858,27.271816
40.666898,24.827422
41.287161,0.397529
42.137148,32.304953
32.194456,57.019850
44.353126,10.266300
6.132931,46.252186
9.006853,56.078140
32.401831,23.450135
46.972762,4.222494
60.103768,27.213044
53.982029,26.392040
36.272325,54.157508
27.216232,12.725321
16.203769,24.510870
8.801311,12.433298
5.581879,19.695866
17.554410,3.792688
42.299917,10.363789
13.605483,30.876884
11.487723,16.775660
37.847894,25.223139
35.227091,0.252500
31.432016,20.515117
51.655873,18.766181
9.928985,51.975450
5.608280,28.216718
11.604188,24.467121
43.347223,56.421202
13.037066,46.901933
12.049349,9.297129
20.299006,42.129612
21.045199,25.045041
25.554309,10.317314
17.002771,18.615972
39.012990,10.917438
4.067208,14.227814
5.496318,26.809283
44.469527,57.666925
0.519419,20.434813
20.969976,11.970818
33.214280,62.095331
16.235429,10.135598
4.062582,25.208849
19.130169,29.916007
18.078750,20.326332
44.789652,51.298872
52.497205,55.223847
49.543460,8.165155
59.684620,20.922958
44.731936,46.104310
35.771109,60.702085
9.044749,35.404239
53.649667,0.010763
52.049398,38.086294
38.706868,43.506084
41.903041,37.443018
14.118074,24.259760
46.565400,7.772597
5.860489,8.153053
25.374059,31.076124
2.364930,23.310793
0.897086,49.403374
24.089060,14.064199
36.588471,9.414632
33.650309,14.511232
13.063520,54.312238
17.091704,7.072638
50.783894,23.646868
10.392386,48.380101
20.728163,39.427946
56.576404,31.653516
25.495214,16.950296
38.561797,20.489759
21.408260,4.126971
11.636079,0.541999
31.020765,51.453110
43.752113,9.475105
9.178094,8.941506
7.873771,26.462222
60.875062,42.802652
7.130869,1.339645
54.302673,29.750069
28.300035,35.017781
22.186374,52.157066
22.290992,37.056988
27.664254,28.221666
32.078934,11.418691
8.777566,6.954494
37.129911,22.970196
4.968027,61.939916
23.893256,24.350943
11.280477,5.292815
46.944421,49.858430
24.314069,19.721316
61.741949,21.406498
60.311144,22.952771
61.809297,19.102764
29.730980,8.724628
27.643430,52.446905
41.513585,42.480485
50.746452,39.702052
43.237983,48.932441
23.996451,54.549199
18.523018,17.522617
16.835816,28.682264
35.775675,12.128811
19.831872,57.849372
35.810824,26.752055
61.655490,0.575629
42.756137,59.416837
58.933957,39.300138
29.486945,43.574043
3.236051,10.406694
30.684086,54.394499
7.820477,17.727233
1.295720,7.827588
15.693215,1.613347
47.177651,30.255971
56.049270,36.213496
28.528196,3.193331
53.133884,41.769427
12.354615,41.285590
43.451006,53.454169
56.130534,42.357414
8.017248,10.684506
34.379044,31.138465
58.456991,25.533296
35.157346,51.931947
46.964803,59.207705
52.876632,32.417793
44.586119,40.122388
58.916191,2.253486
62.425969,25.252343
17.805385,42.964538
20.243990,7.777599
58.314646,45.114508
12.305925,22.948197
48.095146,20.435298
46.586002,24.636784
33.458465,42.778346
28.190861,15.729515
0.863065,45.037643
61.232856,35.314348
22.160053,32.524373
57.359889,21.768502
53.802198,14.128669
44.519922,5.747847
32.939441,27.697171
38.391353,7.513174
43.911699,30.288464
59.195984,60.815481
19.879946,61.377647
13.359878,13.371265
44.699253,33.703259
5.089654,12.566265
0.398734,56.873898
18.249034,26.408021
43.298585,44.147572
61.229501,16.832584
25.371038,36.142317
42.000871,7.212513
10.929870,10.038234
35.189003,48.058770
44.509637,2.266803
41.963741,46.040773
31.147839,45.053332
