promedio_temporal,energia_en_cada_paso
-0.014471,-0.015971
-0.014478,-0.016206
-0.014484,-0.016112
-0.014489,-0.015861
-0.014494,-0.015827
-0.014500,-0.016159
-0.014506,-0.016125
-0.014511,-0.015760
-0.014515,-0.015712
-0.014520,-0.015799
-0.014524,-0.015638
-0.014529,-0.016092
-0.014533,-0.015594
-0.014536,-0.015479
-0.014540,-0.015615
-0.014544,-0.015617
-0.014547,-0.015477
-0.014553,-0.016045
-0.014556,-0.015434
-0.014560,-0.015737
-0.014565,-0.016186
-0.014571,-0.016255
-0.014577,-0.016313
-0.014580,-0.015334
-0.014584,-0.015869
-0.014587,-0.015441
-0.014592,-0.016158
-0.014599,-0.016483
-0.014603,-0.015812
-0.014609,-0.016262
-0.014613,-0.016008
-0.014615,-0.015137
-0.014618,-0.015586
-0.014622,-0.015692
-0.014626,-0.015950
-0.014629,-0.015512
-0.014633,-0.015798
-0.014637,-0.015814
-0.014641,-0.015969
-0.014645,-0.015921
-0.014648,-0.015554
-0.014653,-0.016019
-0.014656,-0.015777
-0.014661,-0.016103
-0.014666,-0.016139
-0.014670,-0.016022
-0.014674,-0.015755
-0.014676,-0.015527
-0.014681,-0.016310
-0.014686,-0.016056
-0.014688,-0.015528
-0.014691,-0.015370
-0.014694,-0.015855
-0.014698,-0.015862
-0.014700,-0.015254
-0.014703,-0.015678
-0.014705,-0.015597
-0.014708,-0.015690
-0.014712,-0.016024
-0.014716,-0.015885
-0.014719,-0.015597
-0.014721,-0.015589
-0.014724,-0.015730
-0.014729,-0.016246
-0.014731,-0.015355
-0.014733,-0.015588
-0.014736,-0.015653
-0.014738,-0.015288
-0.014740,-0.015450
-0.014743,-0.015706
-0.014745,-0.015613
-0.014749,-0.016014
-0.014754,-0.016452
-0.014756,-0.015483
-0.014761,-0.016422
-0.014765,-0.016101
-0.014770,-0.016538
-0.014774,-0.015938
-0.014777,-0.015938
-0.014780,-0.015875
-0.014785,-0.016487
-0.014788,-0.015806
-0.014792,-0.016131
-0.014795,-0.015838
-0.014799,-0.016129
-0.014802,-0.016090
-0.014806,-0.015955
-0.014809,-0.016035
-0.014812,-0.015842
-0.014816,-0.016299
-0.014819,-0.015931
-0.014823,-0.016024
-0.014827,-0.016352
