X_(Angstroms),Y_(Angstroms)
199.523836,409.857594
416.278784,388.565753
258.439460,443.971086
432.879969,319.407668
3.185922,23.032425
160.783979,28.807326
73.517491,21.794769
111.036133,328.114771
127.553619,343.485250
186.767608,442.367081
361.976457,382.079528
404.254300,440.883157
245.269635,135.316258
349.157018,132.761207
436.993292,22.470275
27.048527,49.287220
386.694729,34.103001
194.362114,152.994484
227.237386,105.199198
162.938341,378.333563
302.211352,433.295791
270.307574,399.023692
203.883422,179.489864
373.970940,6.398471
282.933929,160.263290
65.897814,111.553293
200.085809,91.765298
224.208578,94.501123
309.295666,3.305600
414.729397,378.864723
86.089081,163.965186
377.558350,59.309525
317.482478,175.295240
370.691259,256.663898
436.313622,446.722244
17.913732,115.373712
427.136239,312.724415
4.826641,143.640376
24.745048,340.057086
199.447489,236.777197
160.605576,364.077412
253.732312,240.856229
324.726785,279.027065
394.885299,303.562192
260.346825,261.346721
15.960210,7.072599
163.585160,4.357935
174.841558,340.526807
194.808562,444.223158
202.498611,373.777963
413.828402,35.746811
394.316172,436.302725
166.684692,43.732766
324.613445,50.032383
303.682807,229.396557
131.961629,16.484408
60.073787,277.952382
60.594483,241.027333
249.236179,92.722371
219.479210,214.283358
422.274853,170.921759
243.368930,43.142605
365.439150,361.765015
316.236186,350.520514
284.749642,304.699514
414.972571,366.088287
47.571483,127.345548
363.538525,270.613385
207.526330,317.732339
334.467807,137.029234
90.851967,11.037289
72.694501,340.814981
443.962027,200.691477
1.964517,390.688583
245.532497,182.324961
326.868425,301.387009
270.256552,429.567571
176.083521,53.952298
403.780130,332.333227
296.439166,143.194475
194.600491,17.344555
248.211585,151.284386
112.749296,74.287043
118.102969,343.573972
230.242054,390.410001
242.019022,239.081681
342.590116,441.126943
248.300121,189.989499
48.088036,431.025518
73.653879,62.271997
412.653700,262.269058
13.414791,342.086718
27.521797,135.294770
244.462317,411.065121
139.178467,308.559778
324.657486,286.889203
274.538393,438.712129
361.165515,116.960173
48.233529,144.766441
337.300733,34.222885
144.412405,184.641075
360.656362,3.041130
327.356583,322.826693
201.628601,379.369267
81.144749,126.517848
114.923867,48.667737
121.501599,18.538873
78.885392,209.461045
390.017093,433.462312
77.559563,130.264493
234.944246,20.215409
225.360846,186.515403
222.828456,409.297526
336.271290,415.324875
27.266631,286.836183
253.758422,16.947112
321.657799,129.749558
419.835315,96.174254
368.258781,363.929595
33.442907,227.174907
289.322161,180.042818
271.692678,212.931092
111.052233,294.333414
148.152309,131.495852
122.719796,15.606920
320.500042,343.816213
192.966845,78.642752
235.698651,174.297622
227.536110,178.610742
145.699595,165.534715
10.819253,283.887811
73.355447,329.853511
83.044115,184.809793
223.680322,384.577228
184.483440,335.059660
140.130031,162.502510
