theta intensidad

5	21,33
5,2	25,33
5,4	24
5,8	24
6	21,33
6,2	25,33
6,4	20
6,7	22,67
7	22,67
7,2	21,33
7,5	23,33
7,9	24
8,2	22,67
8,4	21,33
8,5	25,33
8,8	20
9,2	22,67
9,3	24
9,6	22,67
9,7	22,67
10	22,67
10,3	25,33
10,5	25,33
10,7	40
10,9	33,33
11,3	34,67
11,5	53,33
11,7	54,67
11,9	48
12,2	56
12,5	58,67
12,7	57,33
12,9	54,67
13,1	58,67
13,4	56
13,6	64
13,8	50,67
14	68
14,4	57,33
14,6	62,67
14,8	61,33
15	64
15,3	78,67
15,7	62
16	60
16,2	64
16,4	57,33
16,7	61,33
17	54,67
17,3	60,67
17,8	57,33
18,1	60
18,3	50,67
18,5	58,67
18,9	59,33
19,3	65,33
19,7	168,67
19,9	144
20,1	56
20,5	65,33
20,8	56,67
21,2	83,33
21,5	230,67
21,9	633,33
22,4	198,67
22,8	45,33
23,1	45,33
23,5	42,67
23,9	38
24,3	36
24,7	33,33
25,1	28,67
25,5	27,33
25,7	30,67
26	32
26,3	32
26,7	28,67
27,1	29,33
27,6	26,67
27,8	26,67
28,3	28
28,7	22
29,1	24
29,5	25,33
29,8	25,33
30,2	26,67
30,6	26
31	24
31,4	25,33
31,8	22,67
32,2	26,67
32,6	25,33
33	28,67
33,4	22,67
33,7	22,67
34,1	22,67
34,6	22,67
34,9	21,33
35,3	24
35,6	22
36,1	20
36,5	22
36,9	22
37,2	22,67
37,7	20
38	23,33
38,4	25,33
38,8	22,67
39,2	25,33
39,6	22
40	21,33
40,3	24
40,7	23,33
41,1	21,33
41,6	23,33
42	22,67
42,4	26,67
42,7	27,33
43,1	24,67
43,6	24
43,7	22,93
