X_(Angstroms),Y_(Angstroms)
22.058613,5.031615
27.658222,15.039101
19.362140,28.378966
37.259710,37.100772
14.699071,23.179598
25.488017,8.079670
32.341944,21.144021
34.389204,3.424641
13.052846,15.390465
41.809092,34.754905
41.035408,20.759474
42.140356,26.448149
1.105887,29.769096
42.529202,40.852733
6.503550,15.909228
39.329265,18.408124
16.034860,0.783040
33.656343,22.958124
29.542356,43.709594
42.629965,25.406262
26.319117,40.567533
6.507146,19.998974
13.700961,25.595410
30.418172,33.345358
22.594788,8.474158
15.175104,26.374533
7.751023,19.689670
12.448564,27.705554
39.257594,31.012270
24.240845,12.043435
36.330049,32.489093
5.665004,12.762576
17.556807,37.813507
7.891211,1.896161
28.692700,20.032645
40.014347,7.390457
25.605247,18.397197
0.223124,38.212450
16.819087,20.788138
28.201439,22.830112
7.147621,10.570531
23.287263,10.812161
7.431141,11.518094
2.371011,1.582434
2.132810,17.249213
36.323613,43.640501
33.214629,18.671301
24.018836,2.377746
42.072055,37.259846
40.664289,20.427497
32.168065,12.198052
36.089727,37.909174
37.892870,16.346814
25.871279,11.424719
31.048001,15.281896
33.348822,23.243298
28.887200,29.159046
39.153139,39.829632
28.896972,15.409814
9.315965,13.859054
26.370463,35.560598
38.912549,38.273622
43.446290,31.501877
23.074759,24.552993
42.096716,8.844435
37.979793,42.532713
42.702144,25.874402
3.408052,28.212564
43.741597,26.304363
14.696918,12.053005
17.462913,9.193696
6.562191,21.726239
28.999314,40.410717
38.449594,18.071474
18.395203,37.144423
32.660092,28.945485
25.846569,38.636368
5.373830,35.791838
20.934142,27.354438
23.119891,36.382855
20.879049,24.412898
18.326409,35.326166
19.122035,39.296225
8.325469,35.275802
5.201623,25.561287
36.495163,37.157861
24.807204,40.484957
3.763865,32.572710
35.058254,21.795929
9.747335,17.247420
34.433508,38.100764
16.599039,17.378582
5.450715,24.794823
31.403398,8.955305
17.348001,14.262743
24.842053,8.933487
30.604421,7.183727
11.246458,41.796719
25.920780,3.167238
20.974984,17.331414
29.504622,1.382620
15.034393,30.789079
28.320595,38.371020
29.761697,29.022584
20.388774,8.489379
8.991629,23.587984
12.296688,10.173954
30.962145,16.510258
31.686099,32.998479
27.069901,40.139532
1.342570,19.226520
31.155263,34.270880
9.220903,43.329568
34.196450,39.070566
37.120746,42.280954
19.206671,6.827360
36.680004,18.913928
33.641400,36.208447
42.367820,43.871626
12.271723,30.802168
11.526425,39.713080
36.014894,13.390232
31.861365,33.525190
8.037408,6.010381
13.860687,24.175416
8.416486,34.206233
