X_(Angstroms),Y_(Angstroms),rho/rho_uniforme
-19.405941,5.940594,0.000000
-19.405941,6.336634,0.000000
-19.405941,6.732673,0.000000
-19.405941,7.128713,0.000000
-19.405941,7.524752,0.000000
-19.405941,7.920792,0.000000
-19.405941,8.316832,0.000000
-19.405941,8.712871,0.000000
-19.405941,9.108911,0.000000
-19.405941,9.504950,0.000000
-19.405941,9.900990,0.000000
-19.405941,10.297030,0.000000
-19.405941,10.693069,0.000000
-19.405941,11.089109,0.000000
-19.405941,11.485149,0.000000
-19.405941,11.881188,0.000000
-19.405941,12.277228,0.000000
-19.405941,12.673267,0.000000
-19.405941,13.069307,0.000000
-19.405941,13.465347,0.000000
-19.405941,13.861386,0.000000
-19.405941,14.257426,0.000000
-19.405941,14.653465,0.000000
-19.405941,15.049505,0.000000
-19.405941,15.445545,0.000000
-19.405941,15.841584,0.000000
-19.405941,16.237624,0.000000
-19.405941,16.633663,0.000000
-19.405941,17.029703,0.000000
-19.405941,17.425743,0.000000
-19.405941,17.821782,0.000000
-19.405941,18.217822,0.000000
-19.405941,18.613861,0.000000
-19.405941,19.009901,0.000000
-19.405941,19.405941,0.000000
-19.405941,19.801980,0.000000
-19.009901,-19.801980,0.000000
-19.009901,-19.405941,0.000000
-19.009901,-19.009901,0.000000
-19.009901,-18.613861,0.000000
-19.009901,-18.217822,0.000000
-19.009901,-17.821782,0.000000
-19.009901,-17.425743,0.000000
-19.009901,-17.029703,0.000000
-19.009901,-16.633663,0.000000
-19.009901,-16.237624,0.000000
-19.009901,-15.841584,0.000000
-19.009901,-15.445545,0.000000
-19.009901,-15.049505,0.000000
-19.009901,-14.653465,0.000000
-19.009901,-14.257426,0.000000
-19.009901,-13.861386,0.000000
-19.009901,-13.465347,0.000000
-19.009901,-13.069307,0.000000
-19.009901,-12.673267,0.000000
-19.009901,-12.277228,0.000000
-19.009901,-11.881188,0.000000
-19.009901,-11.485149,0.000000
-19.009901,-11.089109,0.000000
-19.009901,-10.693069,0.000000
-19.009901,-10.297030,0.000000
-19.009901,-9.900990,0.000000
-19.009901,-9.504950,0.000000
-19.009901,-9.108911,0.000000
-19.009901,-8.712871,0.000000
-19.009901,-8.316832,0.000000
-19.009901,-7.920792,0.000000
-19.009901,-7.524752,0.000637
-19.009901,-7.128713,0.107662
-19.009901,-6.732673,0.173915
-19.009901,-6.336634,0.020386
-19.009901,-5.940594,0.000000
-19.009901,-5.544554,0.000000
-19.009901,-5.148515,0.000000
-19.009901,-4.752475,0.000000
-19.009901,-4.356436,0.033764
-19.009901,-3.960396,0.421729
-19.009901,-3.564356,0.634505
-19.009901,-3.168317,0.759367
-19.009901,-2.772277,1.193837
-19.009901,-2.376238,2.299761
-19.009901,-1.980198,2.045577
-19.009901,-1.584158,0.166271
-19.009901,-1.188119,0.007645
-19.009901,-0.792079,0.002548
-19.009901,-0.396040,0.000000
-19.009901,0.000000,0.000000
-19.009901,0.396040,0.000000
-19.009901,0.792079,0.000000
-19.009901,1.188119,0.003185
-19.009901,1.584158,0.217872
-19.009901,1.980198,1.023744
-19.009901,2.376238,1.141599
-19.009901,2.772277,1.324433
-19.009901,3.168317,1.460125
-19.009901,3.564356,2.331613
-19.009901,3.960396,0.902067
-19.009901,4.356436,0.019749
-19.009901,4.752475,0.000000
-19.009901,5.148515,0.000000
-19.009901,5.544554,0.000000
-19.009901,5.940594,0.000000
-19.009901,6.336634,0.013378
-19.009901,6.732673,0.207679
-19.009901,7.128713,0.080269
-19.009901,7.524752,0.000000
-19.009901,7.920792,0.000000
-19.009901,8.316832,0.000000
-19.009901,8.712871,0.000000
-19.009901,9.108911,0.000000
-19.009901,9.504950,0.000000
-19.009901,9.900990,0.000000
-19.009901,10.297030,0.000000
-19.009901,10.693069,0.000000
-19.009901,11.089109,0.000000
-19.009901,11.485149,0.000000
-19.009901,11.881188,0.000000
-19.009901,12.277228,0.000000
-19.009901,12.673267,0.000000
-19.009901,13.069307,0.000000
-19.009901,13.465347,0.000000
-19.009901,13.861386,0.000000
-19.009901,14.257426,0.000000
-19.009901,14.653465,0.000000
-19.009901,15.049505,0.000000
-19.009901,15.445545,0.000000
-19.009901,15.841584,0.000000
-19.009901,16.237624,0.000000
-19.009901,16.633663,0.000000
-19.009901,17.029703,0.000000
-19.009901,17.425743,0.000000
-19.009901,17.821782,0.000000
-19.009901,18.217822,0.000000
-19.009901,18.613861,0.000000
-19.009901,19.009901,0.000000
-19.009901,19.405941,0.000000
-19.009901,19.801980,0.000000
-18.613861,-19.801980,0.000000
-18.613861,-19.405941,0.000000
-18.613861,-19.009901,0.000000
-18.613861,-18.613861,0.000000
-18.613861,-18.217822,0.000000
-18.613861,-17.821782,0.000000
-18.613861,-17.425743,0.000000
-18.613861,-17.029703,0.000000
-18.613861,-16.633663,0.000000
-18.613861,-16.237624,0.000000
-18.613861,-15.841584,0.000000
-18.613861,-15.445545,0.000000
-18.613861,-15.049505,0.000000
-18.613861,-14.653465,0.000000
-18.613861,-14.257426,0.000000
-18.613861,-13.861386,0.000000
-18.613861,-13.465347,0.000000
-18.613861,-13.069307,0.000000
-18.613861,-12.673267,0.000000
-18.613861,-12.277228,0.000000
-18.613861,-11.881188,0.000000
-18.613861,-11.485149,0.000000
-18.613861,-11.089109,0.000000
-18.613861,-10.693069,0.000000
-18.613861,-10.297030,0.000000
-18.613861,-9.900990,0.000000
-18.613861,-9.504950,0.000000
-18.613861,-9.108911,0.000000
-18.613861,-8.712871,0.000000
-18.613861,-8.316832,0.022297
-18.613861,-7.920792,0.047779
-18.613861,-7.524752,0.023571
-18.613861,-7.128713,0.004459
-18.613861,-6.732673,0.000637
-18.613861,-6.336634,0.000000
-18.613861,-5.940594,0.000000
-18.613861,-5.544554,0.000000
-18.613861,-5.148515,0.001911
-18.613861,-4.752475,0.004459
-18.613861,-4.356436,0.327445
-18.613861,-3.960396,3.638846
-18.613861,-3.564356,2.777550
-18.613861,-3.168317,1.259453
-18.613861,-2.772277,0.803324
-18.613861,-2.376238,0.480338
-18.613861,-1.980198,0.196212
-18.613861,-1.584158,0.015289
-18.613861,-1.188119,0.000000
-18.613861,-0.792079,0.000000
-18.613861,-0.396040,0.000000
-18.613861,0.000000,0.000000
-18.613861,0.396040,0.007645
-18.613861,0.792079,0.289222
-18.613861,1.188119,0.858747
-18.613861,1.584158,2.255804
-18.613861,1.980198,6.496665
-18.613861,2.376238,2.187002
-18.613861,2.772277,0.665083
-18.613861,3.168317,0.423640
-18.613861,3.564356,0.320438
-18.613861,3.960396,0.105114
-18.613861,4.356436,0.002548
-18.613861,4.752475,0.000000
-18.613861,5.148515,0.000000
-18.613861,5.544554,0.000000
-18.613861,5.940594,0.002548
-18.613861,6.336634,0.275207
