promedio_temporal,energia_en_cada_paso
476.789050,476.789050
247.852997,18.916945
166.124937,2.668815
124.786490,0.771148
99.908607,0.397078
83.300012,0.257037
71.426062,0.182363
62.516039,0.145873
55.583529,0.123455
50.036162,0.109853
45.496350,0.098233
41.712587,0.091195
38.510427,0.084509
35.765305,0.078719
33.385873,0.073817
31.303563,0.068925
29.466033,0.065552
27.832466,0.061815
26.370701,0.058943
25.054936,0.055394
23.864354,0.052720
22.781917,0.050745
21.793470,0.047619
20.887335,0.046245
20.053674,0.045806
19.284076,0.044122
18.571434,0.042740
17.909665,0.041905
17.293517,0.041376
16.718422,0.040660
16.180415,0.040223
15.676026,0.039964
15.202191,0.039469
14.756232,0.039585
14.335715,0.038128
13.938584,0.039013
13.562875,0.037341
13.206935,0.037163
12.869253,0.037309
12.548437,0.036640
12.243253,0.035889
11.952600,0.035823
11.675456,0.035414
11.410894,0.034702
11.158086,0.034571
10.916251,0.033649
10.684712,0.033935
10.462815,0.033641
10.249969,0.033349
10.045625,0.032798
9.849303,0.033203
9.660529,0.033053
9.478881,0.033158
9.303965,0.033432
9.135393,0.032501
8.972853,0.033150
8.816013,0.032984
8.664589,0.033400
8.518276,0.032153
8.376832,0.031618
8.240027,0.031707
8.107658,0.033189
7.979465,0.031484
7.855282,0.031729
7.734929,0.032334
7.618225,0.032497
7.504999,0.032079
7.395103,0.032073
7.288404,0.032858
7.184748,0.032507
7.083999,0.031584
6.986048,0.031533
6.890792,0.032327
6.798117,0.032829
6.707901,0.031911
6.620062,0.032160
6.534507,0.032336
6.451137,0.031617
6.369887,0.032410
6.290670,0.032558
6.213409,0.032497
6.138035,0.032763
6.064460,0.031284
5.992626,0.030439
5.922483,0.030465
5.853983,0.031442
5.787063,0.031970
5.721663,0.031817
5.657740,0.032570
5.595228,0.031640
5.534090,0.031674
5.474285,0.032063
5.415765,0.031912
5.358494,0.032267
5.302415,0.030941
5.247508,0.031386
5.193734,0.031392
5.141049,0.030681
5.089449,0.032615
5.038880,0.032500
4.989310,0.032357
4.940703,0.031375
4.893035,0.030880
4.846289,0.031506
4.800438,0.031945
4.755435,0.030066
4.711280,0.030894
4.667952,0.031874
4.625417,0.031635
4.583656,0.031687
4.542643,0.031180
4.502359,0.030886
4.462782,0.030074
4.423896,0.029872
4.385693,0.030563
4.348160,0.031849
4.311257,0.030412
4.274977,0.030273
4.239305,0.029967
4.204230,0.030329
4.169733,0.030100
4.135799,0.029828
4.102421,0.030306
4.069577,0.029716
4.037260,0.029979
4.005447,0.028792
3.974141,0.029644
3.943317,0.028678
3.912970,0.028553
3.883093,0.028954
3.853673,0.029062
3.824703,0.029661
3.796164,0.028991
3.768055,0.029515
3.740351,0.027981
3.713061,0.028915
3.686165,0.028282
3.659663,0.028933
3.633544,0.029197
3.607785,0.027234
3.582390,0.027027
3.557356,0.027554
3.532665,0.026651
3.508315,0.026217
3.484293,0.025139
3.460597,0.024626
3.437219,0.024111
3.414153,0.023377
3.391392,0.022750
3.368928,0.021808
3.346754,0.020632
3.324875,0.021270
3.303284,0.021406
3.281979,0.022321
3.260942,0.021250
3.240183,0.022475
3.219680,0.021223
3.199439,0.021554
3.179447,0.020705
3.159708,0.021212
3.140215,0.021368
3.120962,0.021260
3.101935,0.019595
3.083143,0.020058
3.064585,0.021108
3.046251,0.021013
3.028144,0.022457
3.010238,0.019850
2.992548,0.020655
2.975067,0.020793
2.957791,0.020818
2.940719,0.021477
2.923838,0.020236
2.907153,0.020774
2.890662,0.021238
2.874359,0.021242
2.858242,0.021648
2.842310,0.022419
2.826546,0.020596
2.810961,0.021219
2.795546,0.020873
2.780305,0.021603
2.765232,0.021990
2.750321,0.021521
2.735569,0.021316
2.720977,0.021334
2.706539,0.021134
2.692258,0.021618
2.678124,0.021062
2.664139,0.020907
2.650304,0.021610
2.636608,0.020737
2.623054,0.020761
2.609634,0.019451
2.596357,0.020702
2.583214,0.020316
2.570207,0.020825
2.557335,0.021566
2.544589,0.020856
2.531966,0.019981
2.519470,0.020320
2.507100,0.020693
2.494851,0.020490
2.482719,0.020069
2.470710,0.020690
2.458818,0.021010
2.447041,0.021085
2.435375,0.020488
2.423820,0.020307
2.412379,0.021329
2.401042,0.020260
2.389818,0.021428
2.378699,0.021425
2.367682,0.021097
2.356767,0.021044
2.345951,0.020430
2.335234,0.020365
2.324618,0.020901
2.314095,0.020259
2.303673,0.021255
2.293343,0.020679
2.283105,0.020467
2.272957,0.020088
2.262903,0.020817
2.252935,0.020084
2.243060,0.021228
2.233271,0.021105
2.223568,0.020984
2.213953,0.021608
2.204419,0.021159
2.194967,0.020942
2.185596,0.020997
2.176309,0.021614
2.167096,0.020563
2.157965,0.021257
2.148912,0.021581
2.139933,0.020686
2.131025,0.020024
2.122197,0.021161
2.113437,0.019793
2.104751,0.019911
2.096138,0.020411
2.087594,0.020053
2.079124,0.021003
2.070724,0.021130
2.062390,0.020536
2.054125,0.020903
2.045927,0.020896
2.037795,0.021086
2.029726,0.020494
2.021722,0.020869
2.013779,0.020010
2.005899,0.020129
1.998081,0.020180
1.990323,0.019780
1.982626,0.019830
1.974993,0.021041
1.967416,0.020005
1.959895,0.019651
1.952436,0.020381
1.945034,0.020463
1.937689,0.020901
1.930399,0.020314
1.923169,0.021565
1.915992,0.021241
1.908872,0.022169
1.901798,0.020122
1.894778,0.020452
1.887816,0.022024
1.880901,0.020656
1.874033,0.019680
1.867218,0.020438
1.860456,0.021185
1.853741,0.020630
1.847074,0.020358
1.840461,0.021747
1.833889,0.020015
1.827368,0.021192
1.820893,0.020690
1.814465,0.021116
1.808084,0.021455
1.801750,0.021720
1.795457,0.020922
1.789207,0.020427
1.783006,0.021867
1.776847,0.021548
1.770730,0.021229
1.764653,0.020602
1.758619,0.020758
1.752623,0.020041
1.746672,0.020658
1.740760,0.020517
1.734891,0.021019
1.729061,0.021001
1.723269,0.020232
1.717513,0.019635
1.711801,0.020924
1.706124,0.020011
1.700485,0.020352
1.694886,0.020528
1.689324,0.020940
1.683799,0.020617
1.678309,0.020412
1.672855,0.020315
1.667440,0.021167
1.662058,0.020761
1.656713,0.021024
1.651400,0.020319
1.646123,0.020771
1.640883,0.021789
1.635676,0.021342
1.630498,0.020193
1.625357,0.021339
1.620248,0.021175
1.615170,0.020555
1.610127,0.021662
1.605111,0.020172
1.600129,0.020760
1.595175,0.019866
1.590255,0.020672
1.585366,0.020944
1.580503,0.019499
1.575671,0.019640
1.570873,0.021288
1.566102,0.020329
1.561361,0.020515
1.556649,0.020563
1.551965,0.020265
1.547311,0.020669
1.542684,0.020329
1.538087,0.021123
1.533518,0.021242
1.528978,0.021683
1.524465,0.021673
1.519975,0.020400
1.515514,0.020865
1.511077,0.020256
1.506669,0.021233
1.502287,0.021221
1.497931,0.021240
1.493600,0.021157
1.489294,0.020941
1.485014,0.021180
1.480759,0.021241
1.476528,0.021068
1.472320,0.020547
1.468136,0.020510
1.463979,0.021564
1.459844,0.020997
1.455734,0.021106
1.451645,0.020658
1.447577,0.019523
1.443537,0.021444
1.439518,0.020900
1.435520,0.020377
1.431548,0.021462
1.427596,0.020492
1.423666,0.020706
1.419760,0.021588
1.415876,0.021405
1.412011,0.020645
1.408168,0.020672
1.404348,0.021481
1.400548,0.021117
1.396766,0.020348
1.393006,0.020611
1.389269,0.021583
1.385552,0.021169
1.381854,0.021235
1.378177,0.021196
1.374520,0.021298
1.370879,0.020317
1.367258,0.020359
1.363659,0.021159
1.360080,0.021562
1.356516,0.019999
1.352974,0.021197
1.349449,0.020335
1.345944,0.021203
1.342456,0.020496
1.338990,0.021807
1.335538,0.020368
1.332107,0.021534
1.328692,0.020707
1.325293,0.020055
1.321912,0.020199
1.318551,0.021252
1.315208,0.021336
1.311880,0.020738
1.308571,0.021257
1.305277,0.020630
1.301999,0.020426
1.298740,0.021238
1.295499,0.021767
1.292270,0.020117
1.289059,0.020678
1.285863,0.020120
1.282685,0.020994
1.279524,0.021535
1.276380,0.021733
1.273249,0.020860
1.270134,0.021142
1.267037,0.021852
1.263952,0.020748
1.260882,0.020869
1.257827,0.020259
1.254785,0.020083
1.251762,0.021423
1.248755,0.021765
1.245758,0.020108
1.242778,0.020995
1.239814,0.021563
1.236862,0.020643
1.233925,0.020707
1.231000,0.020202
1.228091,0.020926
1.225197,0.021077
1.222316,0.021199
1.219446,0.019670
1.216592,0.020762
1.213752,0.020731
1.210925,0.020913
1.208111,0.020423
1.205311,0.020917
1.202524,0.021166
1.199750,0.020519
1.196989,0.021049
1.194243,0.021426
1.191505,0.019957
1.188782,0.020425
1.186073,0.021169
1.183376,0.021050
1.180691,0.020893
1.178018,0.020611
1.175360,0.021717
1.172713,0.021103
1.170077,0.021011
1.167452,0.019986
1.164842,0.021902
1.162242,0.020701
1.159653,0.020539
1.157075,0.020311
1.154509,0.020173
1.151955,0.020452
1.149413,0.021100
1.146884,0.021436
1.144366,0.021045
1.141861,0.022303
1.139364,0.020511
1.136877,0.020547
1.134403,0.020770
1.131938,0.020316
1.129486,0.021290
1.127044,0.020594
1.124615,0.022019
1.122195,0.020937
1.119784,0.020579
1.117383,0.020237
1.114995,0.021059
1.112615,0.020129
1.110246,0.020561
1.107890,0.021671
1.105543,0.021539
1.103205,0.020658
1.100878,0.020954
1.098559,0.020249
1.096253,0.021649
1.093953,0.020223
1.091663,0.019517
1.089384,0.020513
1.087115,0.021015
1.084856,0.020772
1.082606,0.020665
1.080368,0.021522
1.078137,0.020768
1.075915,0.020414
1.073701,0.019778
1.071497,0.020154
1.069304,0.021212
1.067121,0.021444
1.064947,0.021681
1.062784,0.022019
