r_(Angstroms),rho/rho_uniforme
0.000000,0.000000
0.010000,0.000000
0.020000,0.000000
0.030000,0.000000
0.040000,0.000000
0.050000,0.000000
0.060000,0.000000
0.070000,0.000000
0.080000,0.000000
0.090000,0.000000
0.100000,0.000000
0.110000,0.000000
0.120000,0.000000
0.130000,0.000000
0.140000,0.000000
0.150000,0.000000
0.160000,0.000000
0.170000,0.000000
0.180000,0.000000
0.190000,0.000000
0.200000,0.000000
0.210000,0.000000
0.220000,0.000000
0.230000,0.000000
0.240000,0.000000
0.250000,0.000000
0.260000,0.000000
0.270000,0.000000
0.280000,0.000000
0.290000,0.000000
0.300000,0.000000
0.310000,0.000000
0.320000,0.000000
0.330000,0.000000
0.340000,0.000000
0.350000,0.000000
0.360000,0.000000
0.370000,0.000000
0.380000,0.000000
0.390000,0.000000
0.400000,0.000000
0.410000,0.000000
0.420000,0.000000
0.430000,0.000000
0.440000,0.000000
0.450000,0.000000
0.460000,0.000000
0.470000,0.000000
0.480000,0.000000
0.490000,0.000000
0.500000,0.000000
0.510000,0.000000
0.520000,0.000000
0.530000,0.000000
0.540000,0.000000
0.550000,0.000000
0.560000,0.000000
0.570000,0.000000
0.580000,0.000000
0.590000,0.000000
0.600000,0.000000
0.610000,0.000000
0.620000,0.000000
0.630000,0.000000
0.640000,0.000000
0.650000,0.000000
0.660000,0.000000
0.670000,0.000000
0.680000,0.000000
0.690000,0.000000
0.700000,0.000000
0.710000,0.000000
0.720000,0.000000
0.730000,0.000000
0.740000,0.000000
0.750000,0.000000
0.760000,0.000000
0.770000,0.000000
0.780000,0.000000
0.790000,0.000000
0.800000,0.000000
0.810000,0.000000
0.820000,0.000000
0.830000,0.000000
0.840000,0.000000
0.850000,0.000000
0.860000,0.000000
0.870000,0.000000
0.880000,0.000000
0.890000,0.000000
0.900000,0.000000
0.910000,0.000000
0.920000,0.000000
0.930000,0.000000
0.940000,0.000000
0.950000,0.000000
0.960000,0.000000
0.970000,0.000000
0.980000,0.000000
0.990000,0.000000
1.000000,0.000000
1.010000,0.000000
1.020000,0.000000
1.030000,0.000000
1.040000,0.000000
1.050000,0.000000
1.060000,0.000000
1.070000,0.000000
1.080000,0.000000
1.090000,0.000000
1.100000,0.000000
1.110000,0.000000
1.120000,0.000000
1.130000,0.000000
1.140000,0.000000
1.150000,0.000000
1.160000,0.000000
1.170000,0.000000
1.180000,0.000000
1.190000,0.000000
1.200000,0.000000
1.210000,0.000000
1.220000,0.000000
1.230000,0.000000
1.240000,0.000000
1.250000,0.000000
1.260000,0.000000
1.270000,0.000000
1.280000,0.000000
1.290000,0.000000
1.300000,0.000000
1.310000,0.000000
1.320000,0.000000
1.330000,0.000000
1.340000,0.000000
1.350000,0.000000
1.360000,0.000000
1.370000,0.000000
1.380000,0.000000
1.390000,0.000000
1.400000,0.000000
1.410000,0.000000
1.420000,0.000000
1.430000,0.000000
1.440000,0.000000
1.450000,0.000000
1.460000,0.000000
1.470000,0.000000
1.480000,0.000000
1.490000,0.000000
1.500000,0.000000
1.510000,0.000000
1.520000,0.000000
1.530000,0.000000
1.540000,0.000000
1.550000,0.000000
1.560000,0.000000
1.570000,0.000000
1.580000,0.000000
1.590000,0.000000
1.600000,0.000000
1.610000,0.000000
1.620000,0.000000
1.630000,0.000000
1.640000,0.000000
1.650000,0.000000
1.660000,0.000000
1.670000,0.000000
1.680000,0.000000
1.690000,0.000000
1.700000,0.000000
1.710000,0.000000
1.720000,0.000000
1.730000,0.000000
1.740000,0.000000
1.750000,0.000000
1.760000,0.000000
1.770000,0.000000
1.780000,0.000000
1.790000,0.000000
1.800000,0.000000
1.810000,0.000000
1.820000,0.000000
1.830000,0.000000
1.840000,0.000000
1.850000,0.000000
1.860000,0.000000
1.870000,0.000000
1.880000,0.000000
1.890000,0.000000
1.900000,0.000000
1.910000,0.000000
1.920000,0.000000
1.930000,0.000000
1.940000,0.000000
1.950000,0.000000
1.960000,0.000000
1.970000,0.000000
1.980000,0.000000
1.990000,0.000000
2.000000,0.000000
2.010000,0.000000
2.020000,0.000000
2.030000,0.000000
2.040000,0.000000
2.050000,0.000000
2.060000,0.000000
2.070000,0.000000
2.080000,0.000000
2.090000,0.000000
2.100000,0.000000
2.110000,0.000000
2.120000,0.000000
2.130000,0.000000
2.140000,0.000000
2.150000,0.000000
2.160000,0.000000
2.170000,0.000000
2.180000,0.000000
2.190000,0.000000
2.200000,0.000000
2.210000,0.000000
2.220000,0.000000
2.230000,0.000000
2.240000,0.000000
2.250000,0.000000
2.260000,0.000000
2.270000,0.000000
2.280000,0.000000
2.290000,0.000000
2.300000,0.000000
2.310000,0.000000
2.320000,0.000000
2.330000,0.000000
2.340000,0.000000
2.350000,0.000000
2.360000,0.000000
2.370000,0.000000
2.380000,0.000000
2.390000,0.000000
2.400000,0.000000
2.410000,0.000000
2.420000,0.000000
2.430000,0.000000
2.440000,0.000000
2.450000,0.000000
2.460000,0.000000
2.470000,0.000000
2.480000,0.000000
2.490000,0.000000
2.500000,0.000000
2.510000,0.000000
2.520000,0.000000
2.530000,0.000000
2.540000,0.000000
2.550000,0.000000
2.560000,0.000000
2.570000,0.000000
2.580000,0.000000
2.590000,0.000000
2.600000,0.000000
2.610000,0.000000
2.620000,0.000000
2.630000,0.000000
2.640000,0.000000
2.650000,0.000000
2.660000,0.000000
2.670000,0.000000
2.680000,0.000000
2.690000,0.000000
2.700000,0.000000
2.710000,0.000000
2.720000,0.000000
2.730000,0.000000
2.740000,0.000000
2.750000,0.000000
2.760000,0.000000
2.770000,0.000000
2.780000,0.000000
2.790000,0.000000
2.800000,0.000000
2.810000,0.000000
2.820000,0.000000
2.830000,0.000000
2.840000,0.000000
2.850000,0.000000
2.860000,0.000000
2.870000,0.000000
2.880000,0.000000
2.890000,0.000000
2.900000,0.001067
2.910000,0.002126
2.920000,0.001059
2.930000,0.005279
2.940000,0.008418
2.950000,0.011535
2.960000,0.011496
2.970000,0.028124
2.980000,0.035296
2.990000,0.053802
3.000000,0.067029
3.010000,0.107919
3.020000,0.194636
3.030000,0.241983
3.040000,0.325655
3.050000,0.435152
3.060000,0.609652
3.070000,0.817280
3.080000,1.040638
3.090000,1.271564
3.100000,1.447110
3.110000,1.881172
3.120000,2.377903
3.130000,2.627317
3.140000,3.264344
3.150000,3.798130
3.160000,4.126852
3.170000,4.636016
3.180000,5.223710
3.190000,5.739832
3.200000,6.456742
3.210000,6.827986
3.220000,7.023010
3.230000,7.750380
3.240000,8.012026
3.250000,8.265400
3.260000,8.677619
3.270000,8.739120
3.280000,8.784209
3.290000,8.697360
3.300000,8.757305
3.310000,8.841192
3.320000,8.315997
3.330000,8.486189
3.340000,8.231072
3.350000,7.770580
3.360000,7.668291
3.370000,7.295748
3.380000,6.738655
3.390000,6.680470
3.400000,6.514328
3.410000,5.792916
3.420000,5.482859
3.430000,5.179119
3.440000,4.655862
3.450000,4.306943
3.460000,4.274839
3.470000,3.942401
3.480000,3.453596
3.490000,3.129843
3.500000,2.944975
3.510000,2.611288
3.520000,2.440368
3.530000,2.309863
3.540000,1.979917
3.550000,1.675363
3.560000,1.665448
3.570000,1.441489
3.580000,1.283608
3.590000,1.184358
3.600000,1.078782
3.610000,0.898355
3.620000,0.850570
3.630000,0.745079
3.640000,0.676722
3.650000,0.616371
3.660000,0.531829
3.670000,0.479789
3.680000,0.440645
3.690000,0.384102
3.700000,0.355464
3.710000,0.298620
3.720000,0.316952
3.730000,0.274620
3.740000,0.266440
3.750000,0.227769
3.760000,0.199180
3.770000,0.217532
3.780000,0.192396
3.790000,0.169843
3.800000,0.153108
3.810000,0.164079
3.820000,0.146637
3.830000,0.130093
3.840000,0.122502
3.850000,0.103696
3.860000,0.115454
3.870000,0.095963
3.880000,0.102097
3.890000,0.093879
3.900000,0.108716
3.910000,0.081527
3.920000,0.086846
3.930000,0.074812
3.940000,0.079336
3.950000,0.068166
3.960000,0.064868
3.970000,0.070941
3.980000,0.061432
3.990000,0.074465
4.000000,0.058030
4.010000,0.057886
4.020000,0.066981
4.030000,0.051455
4.040000,0.054392
4.050000,0.044323
4.060000,0.048026
4.070000,0.041824
4.080000,0.037171
4.090000,0.040107
4.100000,0.041519
4.110000,0.045183
4.120000,0.035308
4.130000,0.043466
4.140000,0.037380
4.150000,0.032815
4.160000,0.032737
4.170000,0.025978
4.180000,0.031099
4.190000,0.036935
4.200000,0.032425
4.210000,0.039700
4.220000,0.025671
4.230000,0.030000
4.240000,0.030660
4.250000,0.032044
4.260000,0.037055
4.270000,0.029720
4.280000,0.031820
4.290000,0.033189
4.300000,0.019435
4.310000,0.022263
4.320000,0.024361
4.330000,0.023590
4.340000,0.028528
4.350000,0.029885
4.360000,0.024847
4.370000,0.024790
4.380000,0.028267
4.390000,0.023973
4.400000,0.018290
4.410000,0.023864
4.420000,0.020309
4.430000,0.024455
4.440000,0.017429
4.450000,0.023650
4.460000,0.025679
4.470000,0.025621
4.480000,0.027637
4.490000,0.023439
4.500000,0.023387
4.510000,0.023335
4.520000,0.021229
4.530000,0.017083
4.540000,0.021818
4.550000,0.020409
4.560000,0.016292
4.570000,0.028448
4.580000,0.020952
4.590000,0.018208
4.600000,0.022206
4.610000,0.022830
4.620000,0.023450
4.630000,0.015377
4.640000,0.022015
4.650000,0.019305
4.660000,0.019928
4.670000,0.023200
4.680000,0.018520
4.690000,0.019141
4.700000,0.020417
4.710000,0.032861
4.720000,0.017052
4.730000,0.020942
4.740000,0.018939
4.750000,0.024764
4.760000,0.022111
4.770000,0.019469
4.780000,0.030438
4.790000,0.027789
4.800000,0.018058
4.810000,0.025099
4.820000,0.019267
4.830000,0.018586
4.840000,0.023025
4.850000,0.027446
4.860000,0.030574
4.870000,0.031147
4.880000,0.029180
4.890000,0.025322
4.900000,0.021480
4.910000,0.025219
4.920000,0.027685
4.930000,0.021349
4.940000,0.022560
4.950000,0.028143
4.960000,0.028710
4.970000,0.028652
4.980000,0.027973
4.990000,0.030399
5.000000,0.027861
5.010000,0.023481
5.020000,0.024050
5.030000,0.024618
5.040000,0.033783
5.050000,0.034329
5.060000,0.031202
5.070000,0.036026
5.080000,0.028642
5.090000,0.034668
5.100000,0.028530
5.110000,0.032109
5.120000,0.033860
5.130000,0.031380
5.140000,0.039752
5.150000,0.039674
5.160000,0.034198
5.170000,0.037725
5.180000,0.044226
5.190000,0.054281
5.200000,0.035721
5.210000,0.051102
5.220000,0.053377
5.230000,0.056234
5.240000,0.043720
5.250000,0.067814
5.260000,0.073571
5.270000,0.075194
5.280000,0.076224
5.290000,0.099490
5.300000,0.095213
5.310000,0.105529
5.320000,0.136755
5.330000,0.157990
5.340000,0.166391
5.350000,0.186912
5.360000,0.218909
5.370000,0.238104
5.380000,0.273915
5.390000,0.353247
5.400000,0.349727
5.410000,0.428626
5.420000,0.471819
5.430000,0.551913
5.440000,0.589599
5.450000,0.661231
5.460000,0.741673
5.470000,0.837103
5.480000,0.932751
5.490000,1.003236
5.500000,1.112307
5.510000,1.216487
5.520000,1.363477
5.530000,1.479143
5.540000,1.556391
5.550000,1.642286
5.560000,1.797477
5.570000,2.050496
5.580000,2.112296
5.590000,2.148952
5.600000,2.353548
5.610000,2.483464
5.620000,2.466378
5.630000,2.719915
5.640000,2.878683
5.650000,2.897703
5.660000,2.931426
5.670000,3.087890
5.680000,3.189840
5.690000,3.228858
5.700000,3.326944
5.710000,3.453425
5.720000,3.322358
5.730000,3.348445
5.740000,3.485016
5.750000,3.443961
5.760000,3.350908
5.770000,3.599986
5.780000,3.375213
5.790000,3.252816
5.800000,3.337961
5.810000,3.367925
5.820000,3.072744
5.830000,3.205025
5.840000,3.124259
5.850000,2.947443
5.860000,2.924453
