promedio_temporal,energia_en_cada_paso
1273.465915,1273.465915
648.436477,23.407040
433.215290,2.772916
325.087899,0.705727
260.131569,0.306250
216.806077,0.178615
185.850667,0.118207
162.629865,0.084249
144.567085,0.064849
130.115751,0.053739
118.291302,0.046820
108.437161,0.041609
100.098758,0.037926
92.951328,0.034734
86.756727,0.032315
81.336325,0.030298
76.553505,0.028375
72.302050,0.027313
68.498093,0.026877
65.074520,0.026637
61.976993,0.026443
59.161053,0.026314
56.589972,0.026187
54.233145,0.026124
52.064860,0.026017
50.063361,0.025902
48.210118,0.025783
46.489245,0.025670
44.887050,0.025599
43.391667,0.025564
41.992760,0.025542
40.681284,0.025528
39.449290,0.025499
38.289766,0.025472
37.196500,0.025453
36.163971,0.025450
35.187254,0.025432
34.261943,0.025434
33.384083,0.025426
32.550117,0.025413
31.756831,0.025400
31.001320,0.025386
30.280950,0.025385
29.593323,0.025368
28.936257,0.025358
28.307759,0.025350
27.706005,0.025350
27.129325,0.025344
26.576182,0.025337
26.045165,0.025312
25.534972,0.025299
25.044401,0.025296
24.572342,0.025295
24.117767,0.025287
23.679722,0.025280
23.257321,0.025282
22.849741,0.025263
22.456216,0.025260
22.076030,0.025253
21.708517,0.025250
21.353054,0.025254
21.009057,0.025243
20.675980,0.025246
20.353313,0.025241
20.040573,0.025234
19.737310,0.025227
19.443100,0.025210
19.157542,0.025211
18.880262,0.025202
18.610904,0.025213
18.349134,0.025198
18.094635,0.025192
17.847108,0.025196
17.606271,0.025194
17.371857,0.025189
17.143611,0.025189
16.921294,0.025182
16.704677,0.025181
16.493544,0.025181
16.287690,0.025182
16.086918,0.025172
15.891043,0.025171
15.699888,0.025170
15.513284,0.025169
15.331071,0.025165
15.153095,0.025162
14.979211,0.025152
14.809278,0.025154
14.643165,0.025150
14.480742,0.025152
14.321890,0.025149
14.166490,0.025147
14.014433,0.025157
13.865611,0.025148
13.719921,0.025134
13.577267,0.025131
13.437555,0.025135
13.300693,0.025137
13.166597,0.025131
13.035182,0.025134
12.906370,0.025127
12.780083,0.025121
12.656248,0.025125
12.534795,0.025126
12.415656,0.025129
12.298764,0.025135
12.184057,0.025122
12.071474,0.025125
11.960957,0.025127
11.852450,0.025114
11.745897,0.025113
11.641247,0.025111
11.538449,0.025107
11.437455,0.025111
11.338217,0.025096
11.240690,0.025099
11.144831,0.025100
11.050596,0.025097
10.957944,0.025092
10.866837,0.025095
10.777236,0.025085
10.689104,0.025085
10.602404,0.025086
10.517103,0.025079
10.433167,0.025079
10.350563,0.025084
10.269260,0.025080
10.189228,0.025084
10.110436,0.025090
10.032856,0.025085
9.956461,0.025075
9.881223,0.025079
9.807117,0.025074
9.734117,0.025078
9.662198,0.025077
9.591337,0.025080
9.521510,0.025072
9.452695,0.025068
9.384870,0.025075
9.318015,0.025080
9.252107,0.025079
9.187128,0.025069
9.123058,0.025080
9.059878,0.025080
8.997569,0.025084
8.936113,0.025077
8.875494,0.025079
8.815694,0.025078
8.756696,0.025073
8.698486,0.025079
8.641046,0.025077
8.584362,0.025072
8.528419,0.025076
8.473202,0.025075
8.418698,0.025075
8.364893,0.025072
8.311773,0.025077
8.259326,0.025075
8.207538,0.025072
8.156397,0.025074
8.105892,0.025079
8.056011,0.025083
8.006741,0.025073
7.958073,0.025075
7.909994,0.025069
7.862494,0.025064
7.815563,0.025064
7.769191,0.025069
7.723368,0.025073
7.678084,0.025067
7.633330,0.025072
7.589096,0.025068
7.545373,0.025062
7.502153,0.025064
7.459427,0.025070
7.417186,0.025066
7.375423,0.025071
7.334128,0.025064
7.293296,0.025070
7.252917,0.025058
7.212984,0.025053
7.173489,0.025055
7.134427,0.025057
7.095789,0.025057
7.057569,0.025059
7.019760,0.025050
6.982355,0.025048
6.945348,0.025051
6.908733,0.025051
6.872503,0.025047
6.836652,0.025056
6.801175,0.025051
6.766066,0.025054
6.731318,0.025051
6.696927,0.025050
6.662887,0.025051
6.629192,0.025044
6.595838,0.025051
6.562819,0.025050
6.530130,0.025042
6.497766,0.025041
6.465723,0.025042
6.433996,0.025043
6.402579,0.025045
6.371469,0.025044
6.340661,0.025041
6.310151,0.025041
6.279934,0.025040
6.250007,0.025032
6.220364,0.025033
6.191002,0.025040
6.161917,0.025041
6.133106,0.025037
6.104563,0.025040
6.076287,0.025039
6.048272,0.025041
6.020515,0.025029
5.993012,0.025026
5.965761,0.025029
5.938758,0.025029
5.911999,0.025018
5.885481,0.025020
5.859201,0.025021
5.833156,0.025022
5.807342,0.025018
5.781756,0.025025
5.756396,0.025031
5.731259,0.025028
5.706340,0.025025
5.681639,0.025023
5.657152,0.025022
5.632875,0.025026
5.608807,0.025021
5.584945,0.025019
5.561286,0.025023
5.537827,0.025026
5.514566,0.025022
5.491501,0.025023
5.468628,0.025023
5.445947,0.025018
5.423453,0.025017
5.401146,0.025022
5.379022,0.025016
5.357079,0.025019
5.335316,0.025019
5.313729,0.025014
5.292317,0.025022
5.271078,0.025021
5.250010,0.025023
5.229110,0.025016
5.208376,0.025015
5.187807,0.025021
5.167401,0.025016
5.147155,0.025011
5.127069,0.025016
5.107139,0.025018
5.087364,0.025012
5.067742,0.025012
5.048272,0.025013
5.028952,0.025017
5.009780,0.025012
4.990754,0.025015
4.971873,0.025019
4.953135,0.025020
4.934538,0.025009
4.916081,0.025009
4.897763,0.025010
4.879581,0.025014
4.861534,0.025009
4.843621,0.025012
4.825840,0.025012
4.808190,0.025007
4.790669,0.025013
4.773276,0.025014
4.756010,0.025016
4.738869,0.025012
4.721851,0.025012
4.704956,0.025009
4.688182,0.025004
4.671528,0.025006
4.654992,0.025006
4.638574,0.025011
4.622271,0.025005
4.606084,0.025007
4.590010,0.025012
4.574048,0.025004
4.558198,0.025013
4.542458,0.025003
4.526826,0.025013
4.511303,0.025009
4.495886,0.025004
4.480575,0.025002
4.465368,0.025002
4.450265,0.025003
4.435264,0.025002
4.420364,0.025001
4.405565,0.025006
4.390865,0.025002
4.376264,0.025006
4.361760,0.025002
4.347352,0.025010
4.333039,0.025007
