X_(Angstroms),Y_(Angstroms)
30.904009,23.895952
2.247018,31.145890
21.159893,19.146323
36.142439,23.988663
13.462774,6.136526
38.561298,42.177169
41.759373,42.390117
11.755408,18.204831
0.871693,31.171882
18.122018,19.839261
37.488899,42.414680
16.562722,34.246652
25.871858,1.348052
14.661352,26.985702
36.656427,34.520932
6.008527,15.502837
42.687843,12.516045
14.499788,35.619282
1.656425,20.496096
6.326891,9.834050
33.788402,15.991001
16.570505,10.929116
34.479270,9.021555
2.779730,30.900081
12.617731,32.527929
14.794777,11.176175
30.655358,31.487300
26.029781,32.669481
28.462459,4.151139
19.898516,39.095643
39.237054,5.314240
24.096730,16.761520
42.643369,32.447210
42.801593,27.438586
42.788029,36.629294
8.755455,9.360850
42.124998,43.228257
30.981426,0.565343
32.480158,39.527361
38.485468,17.697910
36.965700,19.063993
23.341567,26.714325
41.828780,36.573910
16.925000,38.411810
4.070965,17.584705
35.818891,30.576349
14.610992,30.198196
5.182794,1.943149
7.143118,3.158055
0.686239,7.998362
14.594844,18.090190
7.453162,7.217755
41.551710,29.872804
9.236024,11.260127
40.444942,41.496367
39.226734,8.472946
41.242056,35.692106
38.268760,40.581359
13.244708,38.736693
31.064159,23.491297
27.062458,40.548865
27.983600,1.462833
11.634362,38.858536
30.664385,39.631155
21.748963,35.283281
1.604777,35.139374
16.483003,43.406360
0.362200,2.238708
41.114042,12.296301
4.707358,41.773894
13.393627,18.529935
33.585053,24.568875
25.709941,1.032259
41.311120,21.156580
23.402215,19.600174
22.782037,9.182147
13.568389,35.457407
2.424890,38.675442
23.090154,8.552075
17.151646,2.684876
9.554597,10.879690
17.282381,6.864104
35.374207,11.722765
29.166922,32.764110
0.048364,34.340056
10.525306,36.581796
40.346395,14.717852
3.006106,32.311210
37.502857,43.232138
41.087894,11.409166
23.237342,32.562995
21.148120,29.561892
27.243205,32.735002
12.345560,17.670738
10.254373,9.006861
27.378091,9.877916
42.461719,17.398325
33.232003,33.614350
17.115200,5.520261
39.065287,20.027420
40.967826,12.817891
31.354067,2.665481
3.355083,8.352703
38.215697,19.458272
0.362038,42.150584
29.892951,34.396660
33.180739,13.962205
0.775625,23.140775
11.901889,24.317955
19.996856,16.533011
31.288061,6.392613
42.894439,41.970283
4.920868,26.018019
43.416174,28.362866
39.049866,26.232999
20.767369,42.484247
14.845009,4.758052
2.998058,4.922375
20.107710,2.261554
2.525590,31.767727
29.509468,22.250855
