X_(Angstroms),Y_(Angstroms)
58.653011,20.441188
12.348050,8.846038
27.088673,3.658590
39.944298,26.314810
7.907592,19.256245
27.586919,29.581279
42.458844,62.461445
8.342279,48.414481
25.349318,60.427679
52.785435,54.375149
54.860901,11.409375
58.120062,46.960565
52.726348,46.644788
57.914302,46.698647
57.095920,40.030451
37.244927,24.446040
12.088646,14.985566
57.741207,4.768754
54.349449,23.795767
45.077067,56.122615
17.537959,59.301407
2.190242,11.037415
4.313057,51.811927
26.812007,6.814749
9.344254,52.218686
30.563217,34.903180
22.850681,55.492477
1.470341,17.164784
37.231124,47.466237
17.558779,27.773523
41.032678,47.466094
13.899010,20.496520
49.477803,32.085764
8.896577,3.958096
57.222392,16.888450
48.932240,49.181120
24.406842,11.988319
17.562170,52.020015
23.808953,6.288536
20.150432,31.061993
11.445598,44.784233
21.379736,22.818151
37.838074,34.202953
30.950829,50.293101
22.472684,35.417271
15.143927,35.817613
42.988439,12.698441
11.870969,23.323712
62.865230,61.686179
39.508753,38.136139
14.461598,0.273928
52.421269,12.038076
37.328963,43.902733
29.286335,16.504944
13.159102,16.078676
11.522131,60.200436
4.219752,46.029216
38.455156,29.607593
26.297807,11.631053
26.677220,5.073161
8.693145,0.690845
2.525920,13.653972
18.176623,42.740900
8.872354,10.959234
9.505891,51.513757
43.836012,14.210151
22.047335,57.476762
7.200768,46.743104
3.537663,16.678565
5.715588,25.913215
10.809297,59.121098
26.571002,45.164977
49.114328,7.466429
12.546891,20.043130
43.253556,27.464871
40.478374,28.797460
42.648983,38.760036
59.048862,58.747433
54.914076,56.049110
16.997641,22.301315
37.772792,56.183317
3.756703,43.391233
40.488520,37.715411
29.357823,28.129838
7.377664,60.516881
16.091496,26.261338
18.589764,21.699544
58.257735,59.943002
60.949006,42.334036
2.357085,18.239671
26.310122,13.353624
42.191316,48.592953
16.732250,0.484605
53.038663,15.424422
5.127668,24.612993
22.196461,49.996471
16.196396,15.331767
16.028230,37.077443
0.816033,9.359442
1.818048,14.188494
32.056216,4.792356
31.401386,46.614567
36.655592,49.822881
24.468306,17.786282
20.150445,31.421926
7.904523,3.325287
