promedio_temporal,energia_en_cada_paso
0.757525,0.757525
0.375226,-0.007073
0.243394,-0.020268
0.177163,-0.021529
0.137263,-0.022337
0.110587,-0.022795
0.091483,-0.023140
0.077101,-0.023569
0.065877,-0.023922
0.056876,-0.024130
0.049492,-0.024347
0.043314,-0.024639
0.038072,-0.024831
0.033567,-0.025008
0.029657,-0.025078
0.026234,-0.025107
0.023212,-0.025142
0.020523,-0.025190
0.018114,-0.025248
0.015943,-0.025312
0.013977,-0.025350
0.012187,-0.025383
0.010552,-0.025422
0.009052,-0.025460
0.007668,-0.025549
0.006387,-0.025624
0.005200,-0.025683
0.004096,-0.025702
0.003067,-0.025745
0.002105,-0.025782
0.001205,-0.025798
0.000360,-0.025829
-0.000434,-0.025846
-0.001181,-0.025854
-0.001886,-0.025843
-0.002552,-0.025865
-0.003183,-0.025886
-0.003781,-0.025910
-0.004349,-0.025924
-0.004888,-0.025922
-0.005401,-0.025916
-0.005889,-0.025918
-0.006355,-0.025931
-0.006800,-0.025929
-0.007226,-0.025940
-0.007632,-0.025939
-0.008022,-0.025934
-0.008395,-0.025940
-0.008753,-0.025956
-0.009098,-0.025965
-0.009429,-0.025976
-0.009747,-0.025997
-0.010054,-0.026025
-0.010351,-0.026061
-0.010637,-0.026087
-0.010913,-0.026105
-0.011180,-0.026132
-0.011439,-0.026174
-0.011689,-0.026186
-0.011931,-0.026219
-0.012165,-0.026219
-0.012392,-0.026225
-0.012612,-0.026242
-0.012825,-0.026258
-0.013032,-0.026291
-0.013233,-0.026313
-0.013429,-0.026322
-0.013618,-0.026322
-0.013803,-0.026343
-0.013982,-0.026357
-0.014157,-0.026379
-0.014327,-0.026397
-0.014492,-0.026388
-0.014653,-0.026405
-0.014810,-0.026406
-0.014962,-0.026418
-0.015111,-0.026425
-0.015256,-0.026429
-0.015398,-0.026452
-0.015536,-0.026439
-0.015671,-0.026440
-0.015802,-0.026449
-0.015930,-0.026460
-0.016056,-0.026468
-0.016178,-0.026458
-0.016298,-0.026460
-0.016414,-0.026449
-0.016528,-0.026443
-0.016640,-0.026465
-0.016749,-0.026456
-0.016856,-0.026457
-0.016960,-0.026454
-0.017062,-0.026454
-0.017162,-0.026451
-0.017260,-0.026462
-0.017356,-0.026477
-0.017450,-0.026483
-0.017542,-0.026477
-0.017632,-0.026475
-0.017721,-0.026493
-0.017808,-0.026468
-0.017893,-0.026474
-0.017976,-0.026472
-0.018058,-0.026475
-0.018138,-0.026481
-0.018216,-0.026470
-0.018294,-0.026498
-0.018370,-0.026482
-0.018444,-0.026479
-0.018517,-0.026486
-0.018589,-0.026475
-0.018659,-0.026493
-0.018729,-0.026479
-0.018797,-0.026493
-0.018864,-0.026486
-0.018929,-0.026501
-0.018994,-0.026499
-0.019058,-0.026506
-0.019120,-0.026515
-0.019182,-0.026523
-0.019243,-0.026521
-0.019303,-0.026527
-0.019361,-0.026525
-0.019419,-0.026530
-0.019476,-0.026530
-0.019532,-0.026534
-0.019587,-0.026529
-0.019641,-0.026524
-0.019695,-0.026543
-0.019747,-0.026539
-0.019800,-0.026581
-0.019851,-0.026582
-0.019902,-0.026609
-0.019952,-0.026619
-0.020001,-0.026649
-0.020050,-0.026649
-0.020099,-0.026690
-0.020147,-0.026725
-0.020194,-0.026731
-0.020241,-0.026743
-0.020287,-0.026745
-0.020333,-0.026751
-0.020378,-0.026751
-0.020422,-0.026756
-0.020465,-0.026737
-0.020508,-0.026738
-0.020551,-0.026745
-0.020593,-0.026757
-0.020634,-0.026764
-0.020675,-0.026758
-0.020715,-0.026750
-0.020755,-0.026757
-0.020794,-0.026750
-0.020833,-0.026754
-0.020871,-0.026762
-0.020909,-0.026756
-0.020946,-0.026750
-0.020983,-0.026756
-0.021019,-0.026751
-0.021055,-0.026759
-0.021090,-0.026752
-0.021125,-0.026761
-0.021160,-0.026757
-0.021194,-0.026762
-0.021228,-0.026768
-0.021261,-0.026763
-0.021294,-0.026760
-0.021327,-0.026761
-0.021359,-0.026755
-0.021391,-0.026771
-0.021422,-0.026775
-0.021453,-0.026766
-0.021484,-0.026772
-0.021514,-0.026768
-0.021544,-0.026758
-0.021574,-0.026781
-0.021603,-0.026769
-0.021632,-0.026784
-0.021661,-0.026757
-0.021689,-0.026765
-0.021717,-0.026759
-0.021745,-0.026769
-0.021773,-0.026776
-0.021800,-0.026762
-0.021827,-0.026760
-0.021853,-0.026754
-0.021879,-0.026758
-0.021905,-0.026755
-0.021931,-0.026757
-0.021956,-0.026756
-0.021982,-0.026772
-0.022006,-0.026763
-0.022031,-0.026754
-0.022055,-0.026752
-0.022079,-0.026745
-0.022103,-0.026772
-0.022127,-0.026763
-0.022150,-0.026763
-0.022174,-0.026772
-0.022197,-0.026756
-0.022219,-0.026753
-0.022242,-0.026761
-0.022264,-0.026753
-0.022286,-0.026762
-0.022308,-0.026758
-0.022329,-0.026764
-0.022351,-0.026767
-0.022372,-0.026760
-0.022393,-0.026768
-0.022414,-0.026767
-0.022435,-0.026768
-0.022455,-0.026767
-0.022475,-0.026764
-0.022495,-0.026768
-0.022515,-0.026771
-0.022535,-0.026780
-0.022554,-0.026770
-0.022574,-0.026787
-0.022593,-0.026776
-0.022612,-0.026764
-0.022631,-0.026778
-0.022649,-0.026767
-0.022668,-0.026775
-0.022686,-0.026781
-0.022705,-0.026785
-0.022723,-0.026820
-0.022741,-0.026834
-0.022759,-0.026843
-0.022777,-0.026863
-0.022795,-0.026852
-0.022812,-0.026866
-0.022830,-0.026871
-0.022847,-0.026858
-0.022864,-0.026858
-0.022881,-0.026863
-0.022898,-0.026867
-0.022915,-0.026874
-0.022931,-0.026873
-0.022948,-0.026882
-0.022964,-0.026864
-0.022980,-0.026860
-0.022996,-0.026862
-0.023012,-0.026867
-0.023028,-0.026864
-0.023044,-0.026877
-0.023059,-0.026865
-0.023075,-0.026877
-0.023090,-0.026882
-0.023105,-0.026864
-0.023120,-0.026884
-0.023135,-0.026889
-0.023150,-0.026870
-0.023165,-0.026896
-0.023180,-0.026888
-0.023194,-0.026898
-0.023209,-0.026868
-0.023223,-0.026886
-0.023237,-0.026884
-0.023251,-0.026879
-0.023265,-0.026882
-0.023279,-0.026894
-0.023293,-0.026880
-0.023307,-0.026887
-0.023320,-0.026886
-0.023334,-0.026891
-0.023347,-0.026888
-0.023360,-0.026893
-0.023373,-0.026893
-0.023386,-0.026884
-0.023399,-0.026900
-0.023412,-0.026908
-0.023425,-0.026896
-0.023438,-0.026896
-0.023451,-0.026919
-0.023463,-0.026919
-0.023476,-0.026898
-0.023488,-0.026904
-0.023500,-0.026923
-0.023513,-0.026911
-0.023525,-0.026913
-0.023537,-0.026906
-0.023549,-0.026886
-0.023561,-0.026910
-0.023572,-0.026900
-0.023584,-0.026916
-0.023596,-0.026912
-0.023607,-0.026910
-0.023619,-0.026908
-0.023630,-0.026914
-0.023641,-0.026924
-0.023653,-0.026915
-0.023664,-0.026919
-0.023675,-0.026915
-0.023686,-0.026921
-0.023697,-0.026915
-0.023708,-0.026912
-0.023719,-0.026913
-0.023729,-0.026914
-0.023740,-0.026915
-0.023751,-0.026913
-0.023761,-0.026928
-0.023772,-0.026922
-0.023782,-0.026922
-0.023792,-0.026921
-0.023803,-0.026921
-0.023813,-0.026930
-0.023823,-0.026920
-0.023833,-0.026930
-0.023843,-0.026925
-0.023853,-0.026932
-0.023863,-0.026936
-0.023873,-0.026925
-0.023882,-0.026930
-0.023892,-0.026931
-0.023902,-0.026933
-0.023911,-0.026933
-0.023921,-0.026927
-0.023930,-0.026927
-0.023940,-0.026932
-0.023949,-0.026939
-0.023958,-0.026933
-0.023968,-0.026939
-0.023977,-0.026931
-0.023986,-0.026933
-0.023995,-0.026933
-0.024004,-0.026933
-0.024013,-0.026924
-0.024022,-0.026926
-0.024031,-0.026932
-0.024040,-0.026932
-0.024048,-0.026938
-0.024057,-0.026942
-0.024066,-0.026924
-0.024074,-0.026939
-0.024083,-0.026933
-0.024091,-0.026927
-0.024100,-0.026945
-0.024108,-0.026937
-0.024116,-0.026924
-0.024125,-0.026945
-0.024133,-0.026943
-0.024141,-0.026947
-0.024149,-0.026937
-0.024157,-0.026942
-0.024166,-0.026933
-0.024174,-0.026942
-0.024182,-0.026940
-0.024189,-0.026935
-0.024197,-0.026944
-0.024205,-0.026948
-0.024213,-0.026945
-0.024221,-0.026958
-0.024228,-0.026937
-0.024236,-0.026936
-0.024244,-0.026949
-0.024251,-0.026920
-0.024259,-0.026930
-0.024266,-0.026941
-0.024274,-0.026931
-0.024281,-0.026936
-0.024288,-0.026940
-0.024296,-0.026930
-0.024303,-0.026936
-0.024310,-0.026934
-0.024318,-0.026946
-0.024325,-0.026955
-0.024332,-0.026945
-0.024339,-0.026949
-0.024346,-0.026973
-0.024353,-0.026992
-0.024360,-0.027001
-0.024368,-0.027013
-0.024375,-0.027010
-0.024382,-0.027015
-0.024389,-0.027027
-0.024396,-0.027005
-0.024403,-0.027009
-0.024410,-0.027010
-0.024416,-0.027010
-0.024423,-0.027024
-0.024430,-0.027025
-0.024437,-0.027008
-0.024444,-0.027025
-0.024450,-0.027011
-0.024457,-0.027021
-0.024464,-0.027030
-0.024470,-0.027022
-0.024477,-0.027030
-0.024483,-0.027020
-0.024490,-0.027019
-0.024496,-0.027034
-0.024503,-0.027033
-0.024509,-0.027016
-0.024516,-0.027023
-0.024522,-0.027034
-0.024528,-0.027015
-0.024535,-0.027005
-0.024541,-0.027023
-0.024547,-0.027017
-0.024553,-0.027025
-0.024559,-0.027029
-0.024565,-0.027032
-0.024572,-0.027032
-0.024578,-0.027023
-0.024584,-0.027000
-0.024590,-0.027019
-0.024596,-0.027022
-0.024602,-0.027024
-0.024608,-0.027026
-0.024613,-0.027027
-0.024619,-0.027025
-0.024625,-0.027036
-0.024631,-0.027025
-0.024637,-0.027021
-0.024642,-0.027016
-0.024648,-0.027022
-0.024654,-0.027035
-0.024660,-0.027020
-0.024665,-0.027019
-0.024671,-0.027013
-0.024676,-0.027022
-0.024682,-0.027031
-0.024688,-0.027036
-0.024693,-0.027030
-0.024699,-0.027026
-0.024704,-0.027033
-0.024709,-0.027030
-0.024715,-0.027029
-0.024720,-0.027023
-0.024726,-0.027034
-0.024731,-0.027032
-0.024736,-0.027020
-0.024742,-0.027035
-0.024747,-0.027038
-0.024752,-0.027025
-0.024757,-0.027026
-0.024763,-0.027044
-0.024768,-0.027025
-0.024773,-0.027012
-0.024778,-0.027035
-0.024783,-0.027026
-0.024788,-0.027025
-0.024793,-0.027031
-0.024798,-0.027031
-0.024803,-0.027017
-0.024808,-0.027029
-0.024813,-0.027040
-0.024818,-0.027033
-0.024823,-0.027024
-0.024828,-0.027029
-0.024833,-0.027020
-0.024838,-0.027020
-0.024843,-0.027030
-0.024847,-0.027030
-0.024852,-0.027024
-0.024857,-0.027041
-0.024862,-0.027043
-0.024866,-0.027031
-0.024871,-0.027043
-0.024876,-0.027034
-0.024881,-0.027050
-0.024885,-0.027037
-0.024890,-0.027036
-0.024895,-0.027039
-0.024899,-0.027034
-0.024904,-0.027029
-0.024908,-0.027023
-0.024913,-0.027036
-0.024917,-0.027036
-0.024922,-0.027019
-0.024926,-0.027025
-0.024931,-0.027028
-0.024935,-0.027032
-0.024940,-0.027027
-0.024944,-0.027048
