X_(Angstroms),Y_(Angstroms)
190.362332,242.433565
90.916337,353.353680
301.698628,322.990017
339.559177,338.691912
154.415530,241.362905
92.299716,270.776016
430.741367,310.477348
390.790680,258.283863
109.847004,147.553967
274.815430,45.187419
209.900925,320.899692
298.077754,192.151348
209.178227,242.831748
398.272672,379.196192
1.028250,260.462004
152.747088,216.116682
379.401346,308.975467
136.794813,282.478089
298.392198,153.886768
184.970026,145.562449
67.674148,272.538975
181.208275,3.283091
21.481235,381.592355
231.577708,318.325658
7.756978,419.948309
347.957324,100.784720
10.361510,146.598233
72.944534,393.513810
322.926126,53.302525
363.307075,334.710154
220.179635,146.425478
143.680355,412.471220
351.732303,133.170515
64.361197,384.652469
386.568893,21.567374
340.322560,111.120952
407.279218,438.864236
214.825416,125.970795
426.253547,4.145161
72.818285,307.281940
367.383923,9.232667
6.323218,113.392371
143.511543,136.244496
124.601970,432.351074
180.437352,37.708872
175.822843,81.557173
254.385285,58.818582
35.787528,415.017518
382.141020,347.981463
268.920978,123.431225
118.826481,410.736769
433.461086,287.995832
13.590059,120.054749
401.103173,49.572000
122.048013,205.544643
235.282882,361.036695
178.231702,188.527290
444.286542,181.166179
271.937556,62.146574
306.653905,17.933986
337.792435,44.719963
374.269851,149.051013
404.867149,249.557471
34.049061,394.382780
103.720942,138.110604
266.696371,238.097185
65.986017,192.744601
119.806847,346.107455
372.207448,371.834442
259.773622,55.073134
308.482673,102.924548
418.343851,164.814934
11.475634,358.971654
333.725099,166.269643
404.834884,322.179022
247.844201,207.976362
30.767292,406.580418
75.099349,288.999324
90.951160,346.159489
355.842348,206.065040
78.378344,206.288124
395.241573,70.501486
309.325053,100.051257
105.317394,117.973803
151.601694,101.120811
76.703740,335.860957
25.824707,140.815803
322.055850,240.503446
106.882180,185.514828
162.807030,281.603337
370.730984,319.098686
25.748317,430.350270
184.346667,362.259888
39.094668,154.908391
276.912548,259.574889
357.399808,86.782613
124.802261,169.141788
241.868354,1.104318
409.685212,25.454260
93.603205,388.659431
68.048266,413.110232
86.128926,16.295456
180.346152,397.199134
307.093279,32.594039
440.331321,28.764597
361.991110,346.235582
59.358828,384.156638
274.222537,144.123406
73.393407,202.856243
160.850134,62.162180
257.246107,54.195954
319.351264,200.702095
282.264303,218.279476
31.368758,79.076431
104.454638,49.196543
394.310577,52.170605
144.806912,47.489978
292.223267,393.524680
152.459954,55.508881
230.633391,407.803611
383.946795,294.359631
265.983743,416.903089
126.185687,87.760880
6.356344,63.027114
381.480694,70.313391
436.205423,445.898247
102.935239,243.582796
303.729832,199.263478
298.976592,285.864103
258.550722,201.361902
99.391376,286.134586
442.015176,445.812136
144.803409,405.262162
28.493988,175.438207
119.733045,254.435961
8.605794,133.763887
424.701922,271.017830
330.917883,194.677277
169.181447,357.739936
256.437644,27.174746
103.237160,333.713615
320.646820,116.174915
380.619689,45.846031
443.770622,5.836302
229.110195,58.240883
74.506050,377.588937
193.368493,363.254721
342.996985,276.443520
384.131486,81.658411
150.658908,229.252896
116.616648,8.118807
247.647920,126.587694
44.757320,431.653579
297.269210,162.495290
388.325751,64.166847
351.994074,95.027601
9.766171,183.069907
31.229577,110.613738
5.938990,162.271726
59.012166,48.805197
261.945022,372.771753
439.042746,290.097000
331.335090,91.572074
67.084599,9.359609
110.169001,301.826516
3.385367,391.141972
264.585850,129.540009
135.442826,270.428881
83.431801,166.541165
167.676768,33.394543
264.797211,148.018453
35.029937,342.396899
192.493847,438.759235
221.612457,429.470429
127.153117,140.360216
341.670124,10.846377
425.675628,36.937682
203.926917,160.885517
69.445140,227.259899
318.603015,366.154255
430.078695,419.381447
216.383408,19.852969
38.575324,338.788787
386.649036,274.823742
256.622122,255.161484
158.692975,106.750696
412.812867,111.236617
223.704327,62.557720
49.347211,208.482957
416.491450,371.621083
189.698448,321.225059
91.499285,1.192182
412.300623,29.921678
327.387303,127.480270
426.182276,423.279544
254.778061,227.386774
421.155542,249.203994
418.594857,298.701713
437.288233,308.002587
392.706572,327.301138
189.762332,241.533565
91.816337,353.653680
303.198628,323.090017
339.859177,339.491912
154.915530,241.062905
91.399716,270.676016
431.341367,309.977348
390.890680,258.583863
110.347004,147.753967
275.015430,45.187419
209.400925,321.499692
298.077754,192.551348
208.978227,243.131748
398.272672,379.096192
1.628250,260.762004
152.747088,216.216682
379.501346,309.275467
136.594813,282.878089
298.492198,153.586768
184.770026,145.162449
67.874148,272.838975
181.808275,3.183091
21.581235,381.292355
231.177708,318.025658
7.356978,421.048309
349.357324,100.284720
9.461510,147.298233
73.544534,393.213810
323.026126,53.802525
363.907075,335.710154
220.179635,146.925478
143.080355,412.371220
351.732303,132.770515
63.561197,384.552469
386.068893,22.067374
340.322560,109.520952
